id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,fade,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_freezeacpu_06_e_1,40030,event_freezeacpu_06_e,Narration,Locale_SubScenario:event_freezeacpu_06_e_1,False,poli,13,idle,quiry,1,special,miranda,3,idle,anis,5,idle,rapi,7,idle,neon,9,idle,Park_n,black,black,1.0,none,,,,,,,,,,,,,
event_freezeacpu_06_e_2,40030,event_freezeacpu_06_e,Narration,Locale_SubScenario:event_freezeacpu_06_e_2,False,,13,idle,,1,special,,3,idle,,5,idle,,7,idle,,9,idle,,black,black,1.0,,,,,,,,,,,,,,
event_freezeacpu_06_e_3,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_3,True,,13,idle,,1,special,,3,idle,,5,idle,,7,idle,,9,idle,,1,1,1.0,bgm_story_breakaway,quiry,quiry,,,,,,,,,,,
event_freezeacpu_06_e_4,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_4,True,,13,idle,,1,special_02,,3,idle,,5,idle,,7,idle,,9,idle,,1,S_10,1.0,,quiry,quiry,,,,,,,,,,,
event_freezeacpu_06_e_5,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_5,True,,13,idle,,1,surprise,,3,idle,,5,idle,,7,idle,,9,idle,,S_10,S_100,1.0,,quiry,quiry,,,,,,,,,,,
event_freezeacpu_06_e_6,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_6,True,,13,idle,,1,surprise,,3,idle,,5,idle,,7,idle,,9,idle,,XS_1300,XS_1300,1.0,,poli,poli,,,,,,,,,,,
event_freezeacpu_06_e_7,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_7,True,,13,idle,,1,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_100,S_100,1.0,,quiry,quiry,,,,,,,,,,,
event_freezeacpu_06_e_8,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_8,True,,13,idle,,1,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_100,S_100,1.0,,quiry,quiry,,,,,,,,,,,
event_freezeacpu_06_e_9,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_9,True,,13,idle,,1,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_300,S_300,1.0,,miranda,miranda,,,,,,,,,,,
event_freezeacpu_06_e_10,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_10,True,,13,idle,,1,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_100,S_100,1.0,,quiry,quiry,,,,,,,,,,,
event_freezeacpu_06_e_11,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_11,False,,13,idle,,1,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_100,75,2.0,,anis,anis,,,,,,,,,,,
event_freezeacpu_06_e_12,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_12,True,,13,idle,,1,idle,,3,idle,,5,idle,,7,idle,,9,idle,,75,75,1.0,,anis,anis,,,,,,,,,,,
event_freezeacpu_06_e_13,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_13,True,,13,idle,,1,idle,,3,idle,,5,idle,,7,idle,,9,idle,,75,75,1.0,,rapi,rapi,,,,,,,,,,,
event_freezeacpu_06_e_14,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_14,True,,13,idle,,1,idle,,3,idle,,5,idle,,7,idle,,9,idle,,75,75,1.0,,rapi,rapi,,,,,,,,,,,
event_freezeacpu_06_e_15,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_15,True,,13,idle,,1,idle,,3,idle,,5,idle,,7,idle,,9,idle,,75,75,1.0,,anis,anis,,,,,,,,,,,
event_freezeacpu_06_e_16,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_16,True,,13,idle,,1,idle,,3,idle,,5,worry,,7,idle,,9,idle,,75,75,1.0,,anis,anis,,,,,,,,,,,
event_freezeacpu_06_e_17,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_17,True,,13,idle,,1,idle,,3,idle,,5,worry,,7,idle,,9,idle,,S_10,S_10,1.0,,quiry,quiry,,,,,,,,,,,
event_freezeacpu_06_e_18,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_18,True,,13,idle,,1,idle,,3,idle,,5,worry,,7,idle,,9,idle,,S_10,S_10,1.0,,quiry,quiry,,,,,,,,,,,
event_freezeacpu_06_e_19,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_19,True,,13,idle,,1,idle,,3,idle,,5,worry,,7,idle,,9,idle,,S_10,S_30,1.0,,miranda,miranda,,,,,,,,,,,
event_freezeacpu_06_e_20,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_20,True,,13,idle,,1,idle,,3,idle,,5,worry,,7,idle,,9,idle,,S_30,S_30,1.0,,miranda,miranda,,,,,,,,,,,
event_freezeacpu_06_e_21,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_21,True,,13,idle,,1,idle,,3,idle,,5,worry,,7,idle,,9,idle,,S_90,S_90,1.0,,neon,neon,,,,,,,,,,,
event_freezeacpu_06_e_22,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_22,True,,13,idle,,1,idle,,3,idle,,5,worry,,7,idle,,9,idle,,50,50,1.0,,anis,anis,,,,,,,,,,,
event_freezeacpu_06_e_23,40030,event_freezeacpu_06_e,Speech,Locale_SubScenario:event_freezeacpu_06_e_23,False,,13,angry,,1,idle,,3,idle,,5,worry,,7,idle,,9,idle,,XS_130,XS_130,1.0,,poli,poli,,,,,,,,,,,
