id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound
event_overthehorizon_01_e_1,40081,event_overthehorizon_01_e,Monologue,Locale_SubScenario:event_overthehorizon_01_e_1,False,cielo,3,idle,sora,1,idle,rapi,13,idle,anis,15,idle,neon,17,idle,sky,5,think,Stage,black,black,1.0,bgm_story_cottoncandy,,,
event_overthehorizon_01_e_2,40081,event_overthehorizon_01_e,Monologue,Locale_SubScenario:event_overthehorizon_01_e_2,False,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,5,think,,black,black,1.0,,,,
event_overthehorizon_01_e_3,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_3,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,5,think,,300,300,1.0,,cielo,cielo,
event_overthehorizon_01_e_4,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_4,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,5,think,,300,300,1.0,,cielo,cielo,
event_overthehorizon_01_e_5,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_5,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,5,think,,300,30,1.0,,cielo,cielo,
event_overthehorizon_01_e_6,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_6,True,,3,idle,,1,delight,,13,idle,,15,idle,,17,idle,,5,think,,30,10,1.0,,sora,sora,
event_overthehorizon_01_e_7,40081,event_overthehorizon_01_e,Self,Locale_SubScenario:event_overthehorizon_01_e_7,False,,3,idle,,1,delight,,13,idle,,15,idle,,17,idle,,5,think,,10,10,1.0,,sora,,
event_overthehorizon_01_e_8,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_8,True,,3,idle,,1,shy,,13,idle,,15,idle,,17,idle,,5,think,,10,10,1.0,,sora,sora,
event_overthehorizon_01_e_9,40081,event_overthehorizon_01_e,Self,Locale_SubScenario:event_overthehorizon_01_e_9,False,,3,idle,,1,shy,,13,idle,,15,idle,,17,idle,,5,think,,10,10,1.0,,sora,,
event_overthehorizon_01_e_10,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_10,False,,3,idle,,1,shy,,13,worry,,15,idle,,17,idle,,5,think,,10,130,1.0,,rapi,rapi,
event_overthehorizon_01_e_11,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_11,False,,3,idle,,1,shy,,13,worry,,15,no,,17,idle,,5,think,,130,150,1.0,,anis,anis,
event_overthehorizon_01_e_12,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_12,True,,3,no,,1,idle,,13,worry,,15,no,,17,idle,,5,think,,30,300,0.7,,cielo,cielo,
event_overthehorizon_01_e_13,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_13,True,,3,no,,1,idle,,13,idle,,15,idle,,17,idle,,5,think,,1500,1500,1.0,,anis,anis,
event_overthehorizon_01_e_14,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_14,True,,3,no,,1,idle,,13,idle,,15,idle,,17,delight,,5,think,,1500,S_1700,1.0,,neon,neon,
event_overthehorizon_01_e_15,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_15,True,,3,delight_02,,1,idle,,13,idle,,15,idle,,17,delight,,5,think,,300,30,0.5,,cielo,cielo,
event_overthehorizon_01_e_16,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_16,True,,3,delight_02,,1,idle,,13,idle,,15,idle,,17,delight,,5,think,,30,30,1.0,,cielo,cielo,
event_overthehorizon_01_e_17,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_17,True,,3,delight_02,,1,idle,,13,idle,,15,idle,,17,delight,,5,think,,30,31,1.0,,sora,sora,
event_overthehorizon_01_e_18,40081,event_overthehorizon_01_e,Speech,Locale_SubScenario:event_overthehorizon_01_e_18,False,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,,5,think,,31,31,1.0,,cielo,cielo,
