id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,play_sound,set_camera_shake,characters/0/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,fade
event_goldencoinrush1_b01_s_1,40048,event_goldencoinrush1_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush1_b01_s_1,True,mustang,7,idle,soda_b,15,serious,alice_b,17,idle,exia_c2,1,idle,milk,13,idle,CoinRushMainHall,7,L_70,0.7,event_bgm_goldcoinrush_inst,,,,,,,,,,
event_goldencoinrush1_b01_s_2,40048,event_goldencoinrush1_b01_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_s_2,True,,7,idle,,15,serious,,17,idle,,1,idle,,13,idle,,16,16,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_3,40048,event_goldencoinrush1_b01_s,Self,soda_b,,Locale_MainScenario:event_goldencoinrush1_b01_s_3,False,,7,idle,,15,serious,,17,idle,,1,idle,,13,idle,,16,16,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_4,40048,event_goldencoinrush1_b01_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush1_b01_s_4,True,,7,idle,,15,serious,,17,idle,,1,idle,,13,idle,,16,16,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_5,40048,event_goldencoinrush1_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush1_b01_s_5,True,,7,delight,,15,serious,,17,idle,,1,idle,,13,idle,,L_70,L_70,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_6,40048,event_goldencoinrush1_b01_s,Self,mustang,,Locale_MainScenario:event_goldencoinrush1_b01_s_6,False,,7,delight,,15,surprise,,17,idle,,1,idle,,13,idle,,L_70,7,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_7,40048,event_goldencoinrush1_b01_s,Speech,exia_c2,exia_c2,Locale_MainScenario:event_goldencoinrush1_b01_s_7,True,,7,delight,,15,surprise,,17,idle,,1,sad,,13,good,,12,12,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_8,40048,event_goldencoinrush1_b01_s,Speech,milk,milk,Locale_MainScenario:event_goldencoinrush1_b01_s_8,True,,7,delight,,15,surprise,,17,idle,,1,sad,,13,good,,12,12,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_9,40048,event_goldencoinrush1_b01_s,Monologue,soda_b,,Locale_MainScenario:event_goldencoinrush1_b01_s_9,False,,7,delight,,15,surprise,,17,idle,,1,sad,,13,good,,12,12,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_10,40048,event_goldencoinrush1_b01_s,Monologue,soda_b,,Locale_MainScenario:event_goldencoinrush1_b01_s_10,False,,7,delight,,15,surprise,,17,idle,,1,sad,,13,good,,12,12,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_11,40048,event_goldencoinrush1_b01_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_s_11,True,,7,delight,,15,sad,,17,idle,,1,sad,,13,good,,12,16,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_12,40048,event_goldencoinrush1_b01_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_s_12,True,,7,delight,,15,sad,,17,idle,,1,sad,,13,good,,16,16,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_13,40048,event_goldencoinrush1_b01_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush1_b01_s_13,True,,7,delight,,15,sad,,17,idle,,1,sad,,13,good,,16,16,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_14,40048,event_goldencoinrush1_b01_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush1_b01_s_14,True,,7,delight,,15,sad,,17,idle,,1,sad,,13,good,,16,16,1.0,,,,,,,,,,,
event_goldencoinrush1_b01_s_15,40048,event_goldencoinrush1_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush1_b01_s_15,True,,7,idle,,15,sad,,17,idle,,1,sad,,13,good,,L_70,L_70,1.0,,exia_c2,milk,,,,,,,,
