id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_queensorder_06_s_1,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_1,False,none,,,,,,black,black,0,,,,100,bgm_story_crawlinganxiety,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_2,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_2,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_3,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_3,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_4,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_4,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_5,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_5,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_6,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_6,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_7,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_7,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_8,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_8,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_9,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_9,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_10,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_10,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_11,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_11,False,OuterRim,,,,,,15,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_12,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_12,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_13,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_13,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_14,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_14,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_15,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_15,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_16,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_16,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_17,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_17,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_18,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_18,False,,,,,,,1,10,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_19,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_19,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_20,40015,event_queensorder_06_s,,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_06_s_20,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,,,rosanna,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_21,40015,event_queensorder_06_s,,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_06_s_21,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,,,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_22,40015,event_queensorder_06_s,,Monologue,,,Locale_SubScenario:event_queensorder_06_s_22,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,,,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_23,40015,event_queensorder_06_s,,Speech,redthicket01,redthicket01,Locale_SubScenario:event_queensorder_06_s_23,False,,,,,,,10,10,0,,,,100,,Low_2,None,None,,None,False,,,,,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_24,40015,event_queensorder_06_s,,Speech,redthicketboss,redthicketboss,Locale_SubScenario:event_queensorder_06_s_24,True,,,,,,,10,1,858993459,,,,100,,,None,None,,None,False,,,,,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_queensorder_06_s_25,40015,event_queensorder_06_s,,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_06_s_25,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
