id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,speaker,characters/0/hide_char_id
snowfall_speech_ludmilla_01_1,80903,snowfall_speech_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_1,False,ludmilla_w,1,idle,BambooForest_d,1,1,1.0,amb_so_bambooforest_1,event_bgm_neverland_snowflakes_day,,,,
snowfall_speech_ludmilla_01_2,80903,snowfall_speech_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_2,False,,1,idle,,1,1,1.0,,,,,,
snowfall_speech_ludmilla_01_3,80903,snowfall_speech_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_3,False,,1,idle,,1,1,1.0,,,,,,
snowfall_speech_ludmilla_01_4,80903,snowfall_speech_ludmilla_01,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_4,False,,1,idle,,1,1,1.0,,,snowfall_speech_ludmilla_01_7,,,
snowfall_speech_ludmilla_01_5,80903,snowfall_speech_ludmilla_01,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_5,False,,1,idle,,1,1,1.0,,,snowfall_speech_ludmilla_01_6,,,
snowfall_speech_ludmilla_01_6,80903,snowfall_speech_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_6,False,,1,idle,,black,black,1.0,,,,True,,
snowfall_speech_ludmilla_01_7,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_7,True,,1,idle,,1,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_8,80903,snowfall_speech_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_8,False,,1,idle,,10,10,1.0,,,,,,
snowfall_speech_ludmilla_01_9,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_9,True,,1,idle,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_10,80903,snowfall_speech_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_10,False,,1,idle,,10,10,1.0,,,,,,
snowfall_speech_ludmilla_01_11,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_11,True,,1,surprise,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_12,80903,snowfall_speech_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_12,False,,1,surprise,,10,10,1.0,,,,,,
snowfall_speech_ludmilla_01_13,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_13,True,,1,think,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_14,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_14,True,,1,think,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_15,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_15,True,,1,think,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_16,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_16,True,,1,think,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_17,80903,snowfall_speech_ludmilla_01,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_17,False,,1,think,,10,10,1.0,,,snowfall_speech_ludmilla_01_19,,,
snowfall_speech_ludmilla_01_18,80903,snowfall_speech_ludmilla_01,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_18,False,,1,think,,10,10,1.0,,,snowfall_speech_ludmilla_01_21,,,
snowfall_speech_ludmilla_01_19,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_19,True,,1,surprise,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_20,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_20,True,,1,think,,10,10,1.0,,,snowfall_speech_ludmilla_01_23,,ludmilla_w,
snowfall_speech_ludmilla_01_21,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_21,True,,1,think,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_22,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_22,True,,1,think,,10,10,1.0,,,snowfall_speech_ludmilla_01_23,,ludmilla_w,
snowfall_speech_ludmilla_01_23,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_23,True,,1,think,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_24,80903,snowfall_speech_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_24,False,,1,think,,10,10,1.0,,,,,,
snowfall_speech_ludmilla_01_25,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_25,True,,1,think,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_26,80903,snowfall_speech_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_26,False,,1,think,,10,10,1.0,,,,,,
snowfall_speech_ludmilla_01_27,80903,snowfall_speech_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_27,True,,1,think,,10,10,1.0,,,,,ludmilla_w,
snowfall_speech_ludmilla_01_28,80903,snowfall_speech_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_28,False,,1,think,,10,1,1.0,,,,,,ludmilla_w
snowfall_speech_ludmilla_01_29,80903,snowfall_speech_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_29,False,,,,,1,1,1.0,,,,,,
snowfall_speech_ludmilla_01_30,80903,snowfall_speech_ludmilla_01,Narration,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_01_30,False,,,,,black,black,1.0,,,,,,
