id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_bluewaterisland1_01_s_1,40020,event_bluewaterisland1_01_s,,Speech,neon,neon,Locale_SubScenario:event_bluewaterisland1_01_s_1,True,CommanderRoom,,,,,,5,S_50,0,,,,100,bgm_story_orangepop,,None,None,,None,False,rapi,,7,idle,neon,,5,surprise,anis,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland1_01_s_2,40020,event_bluewaterisland1_01_s,,Self,,Self,Locale_SubScenario:event_bluewaterisland1_01_s_2,False,,,,,,,S_50,S_50,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,surprise,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland1_01_s_3,40020,event_bluewaterisland1_01_s,,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_3,True,,,,,,,S_50,30,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland1_01_s_4,40020,event_bluewaterisland1_01_s,,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_4,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland1_01_s_5,40020,event_bluewaterisland1_01_s,,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_5,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland1_01_s_6,40020,event_bluewaterisland1_01_s,,Choice,,,Locale_SubScenario:event_bluewaterisland1_01_s_6,False,,,,,,,30,30,0,,,,100,,,None,None,event_bluewaterisland1_01_s_8,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland1_01_s_7,40020,event_bluewaterisland1_01_s,,Choice,,,Locale_SubScenario:event_bluewaterisland1_01_s_7,False,,,,,,,30,30,0,,,,100,,,None,None,event_bluewaterisland1_01_s_11,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland1_01_s_8,40020,event_bluewaterisland1_01_s,,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_8,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland1_01_s_9,40020,event_bluewaterisland1_01_s,,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_9,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland1_01_s_10,40020,event_bluewaterisland1_01_s,,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_10,True,,,,,,,30,30,0,,,,100,,,None,None,event_bluewaterisland1_01_s_14,None,False,,,7,idle,,,5,idle,,,3,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
