id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
event_bluewaterisland1_01_s_1,40020,event_bluewaterisland1_01_s,Speech,neon,neon,Locale_SubScenario:event_bluewaterisland1_01_s_1,True,rapi,7,idle,neon,5,surprise,anis,3,idle,CommanderRoom,5,S_50,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_2,40020,event_bluewaterisland1_01_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_01_s_2,False,,7,idle,,5,surprise,,3,idle,,S_50,S_50,1.0,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_3,40020,event_bluewaterisland1_01_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_3,True,,7,idle,,5,idle,,3,idle,,S_50,30,1.0,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_4,40020,event_bluewaterisland1_01_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_4,True,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_5,40020,event_bluewaterisland1_01_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_5,True,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_6,40020,event_bluewaterisland1_01_s,Choice,,,Locale_SubScenario:event_bluewaterisland1_01_s_6,False,,7,idle,,5,idle,,3,idle,,30,30,1.0,,event_bluewaterisland1_01_s_8,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_7,40020,event_bluewaterisland1_01_s,Choice,,,Locale_SubScenario:event_bluewaterisland1_01_s_7,False,,7,idle,,5,idle,,3,idle,,30,30,1.0,,event_bluewaterisland1_01_s_11,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_8,40020,event_bluewaterisland1_01_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_8,True,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_9,40020,event_bluewaterisland1_01_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_9,True,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_10,40020,event_bluewaterisland1_01_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_10,True,,7,idle,,5,idle,,3,void,,30,30,1.0,,event_bluewaterisland1_01_s_14,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_11,40020,event_bluewaterisland1_01_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_11,True,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_12,40020,event_bluewaterisland1_01_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_12,True,,7,idle,,5,idle,,3,void,,30,30,1.0,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_13,40020,event_bluewaterisland1_01_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_01_s_13,True,,7,idle,,5,idle,,3,void,,30,30,1.0,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_01_s_14,40020,event_bluewaterisland1_01_s,Speech,rapi,rapi,Locale_SubScenario:event_bluewaterisland1_01_s_14,True,,7,idle,,5,idle,,3,void,,70,70,1.0,,,,,,,,,,,,,,,,,,
