id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,highlight,speaker
snowfall_speech_noirblanc_16_1,80903,snowfall_speech_noirblanc_16,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_16_1,False,noir_c,1,idle,blanc_c,13,idle,BigHotSpring_d,12,12,1.0,amb_so_hotspring_1,event_bgm_neverland_hugme_day,,,,
snowfall_speech_noirblanc_16_2,80903,snowfall_speech_noirblanc_16,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_16_2,False,,1,idle,,13,idle,,12,12,1.0,,,,,,
snowfall_speech_noirblanc_16_3,80903,snowfall_speech_noirblanc_16,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_16_3,False,,1,idle,,13,idle,,12,12,1.0,,,,,,
snowfall_speech_noirblanc_16_4,80903,snowfall_speech_noirblanc_16,Choice,Locale_SubScenario:snowfall_speech_noirblanc_16_4,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_16_7,,,
snowfall_speech_noirblanc_16_5,80903,snowfall_speech_noirblanc_16,Choice,Locale_SubScenario:snowfall_speech_noirblanc_16_5,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_16_6,,,
snowfall_speech_noirblanc_16_6,80903,snowfall_speech_noirblanc_16,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_16_6,False,,1,idle,,13,idle,,black,black,1.0,,,,True,,
snowfall_speech_noirblanc_16_7,80903,snowfall_speech_noirblanc_16,Speech,Locale_SubScenario:snowfall_speech_noirblanc_16_7,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_16_8,80903,snowfall_speech_noirblanc_16,Speech,Locale_SubScenario:snowfall_speech_noirblanc_16_8,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_16_9,80903,snowfall_speech_noirblanc_16,Speech,Locale_SubScenario:snowfall_speech_noirblanc_16_9,True,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,noir_c
snowfall_speech_noirblanc_16_10,80903,snowfall_speech_noirblanc_16,Speech,Locale_SubScenario:snowfall_speech_noirblanc_16_10,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
