id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,play_sound,set_filter_01
d_ex_seayouagain_11_1,80600,d_ex_seayouagain_11,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_11_1,False,liter_s,7,idle,LogHouseOut_n,17,17,1.0,none,,,,,,,,,,,
d_ex_seayouagain_11_2,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_2,True,,7,no,,7,7,1.0,bgm_story_profusion,liter_s,,,,,,,,,,
d_ex_seayouagain_11_3,80600,d_ex_seayouagain_11,Self,Self,Locale_SuddenStory:d_ex_seayouagain_11_3,False,,7,no,,7,7,1.0,,,,,,,,,,,,
d_ex_seayouagain_11_4,80600,d_ex_seayouagain_11,Self,Self,Locale_SuddenStory:d_ex_seayouagain_11_4,False,,7,no,,7,7,1.0,,,,,,,,,,,,
d_ex_seayouagain_11_5,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_5,True,,7,angry,,7,XS_70,0.7,,liter_s,Low_2,,,,,,,,,
d_ex_seayouagain_11_6,80600,d_ex_seayouagain_11,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_11_6,True,,7,angry,,3,3,1.0,,mary_s,,pepper_s,5,idle,mary_s,3,idle,,,
d_ex_seayouagain_11_7,80600,d_ex_seayouagain_11,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_11_7,True,,7,angry,,3,3,1.0,,mary_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_8,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_8,True,,7,surprise,,3,6,1.0,,liter_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_9,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_9,True,,7,sorrow,,6,6,1.0,,liter_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_10,80600,d_ex_seayouagain_11,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_11_10,True,,7,sorrow,,6,6,1.0,,pepper_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_11,80600,d_ex_seayouagain_11,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_11_11,True,,7,sorrow,,6,6,1.0,,pepper_s,,,5,good,,3,idle,,,
d_ex_seayouagain_11_12,80600,d_ex_seayouagain_11,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_11_12,True,,7,sorrow,,6,6,1.0,,pepper_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_13,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_13,True,,7,no,,6,6,1.0,,liter_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_14,80600,d_ex_seayouagain_11,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_11_14,True,,7,no,,6,4,1.0,,mary_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_15,80600,d_ex_seayouagain_11,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_11_15,True,,7,no,,4,4,1.0,,pepper_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_16,80600,d_ex_seayouagain_11,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_11_16,True,,7,no,,4,4,1.0,,pepper_s,,,5,good,,3,idle,,,
d_ex_seayouagain_11_17,80600,d_ex_seayouagain_11,Self,Self,Locale_SuddenStory:d_ex_seayouagain_11_17,False,,7,sorrow,,4,4,1.0,,,,,5,good,,3,idle,,,
d_ex_seayouagain_11_18,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_18,True,,7,sorrow,,4,7,1.0,,liter_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_19,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_19,True,,7,sorrow,,7,7,1.0,,liter_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_20,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_20,True,,7,no,,7,XS_70,0.7,,liter_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_21,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_21,True,,7,no,,XS_70,XS_70,1.0,,liter_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_22,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_22,True,,7,angry,,XS_70,XS_70,1.0,,liter_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_23,80600,d_ex_seayouagain_11,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_11_23,True,,7,sorrow,,XS_70,7,0.7,,liter_s,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_24,80600,d_ex_seayouagain_11,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_11_24,False,,7,sorrow,,7,7,1.0,,,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_25,80600,d_ex_seayouagain_11,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_11_25,False,,7,sorrow,,17,17,1.0,,,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_26,80600,d_ex_seayouagain_11,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_11_26,False,,7,sorrow,,17,17,1.0,,,,,5,idle,,3,idle,,,
d_ex_seayouagain_11_27,80600,d_ex_seayouagain_11,Choice,,Locale_SuddenStory:d_ex_seayouagain_11_27,False,,7,sorrow,,17,17,1.0,,,,,5,idle,,3,idle,d_ex_seayouagain_11_29,,
