id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_overzone2_04_s_1,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_1,True,RuinIndoor,,,,,,14,14,0,,,,100,bgm_story_fall,,None,None,,None,False,snowwhite,,1,idle,hongryeon,,13,sad,rapunzel,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_2,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_2,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_3,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_3,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_4,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_4,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_5,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_5,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_6,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_6,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_7,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_7,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_8,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_8,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_9,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_9,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_10,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_10,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_11,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_11,False,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_12,80304,event_overzone2_04_s,,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_12,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,sad,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_13,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_13,True,,,,,,,14,130,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_14,80304,event_overzone2_04_s,,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_14,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overzone2_04_s_15,80304,event_overzone2_04_s,,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_15,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,surprise,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
