id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,play_sound,set_camera_shake,highlight,speaker,characters/0/hide_char_id
re_event_ce02_2_05_e_1,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_1,False,b0006_02,17,idle,Factory_n,17,17,1.0,none,Vignetting,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_2,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_2,False,,17,idle,,17,17,1.0,,Vignetting,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_3,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_3,False,,17,idle,,17,17,1.0,,Vignetting,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_4,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_4,False,,17,idle,,17,17,1.0,,Vignetting,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_5,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_5,False,,17,idle,,17,17,1.0,,Vignetting,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_6,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_6,False,,17,idle,WasteLand_03,17,17,1.0,,Vignetting,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_7,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_7,False,,17,idle,,17,16,1.0,,Vignetting,Grey,6000d_02,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_8,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_8,False,,17,idle,,16,16,1.0,,Vignetting,Grey,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_9,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_9,False,,17,idle,,16,14,1.0,,Vignetting,Grey,,15,idle,c1002_02,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_10,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_10,False,,17,idle,,7,7,1.0,,Vignetting,Grey,,15,idle,,13,idle,rapi,5,idle,anis,7,void,neon,9,idle,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_11,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_11,False,,17,idle,,7,7,1.0,,Vignetting,Grey,,15,idle,,13,idle,,5,idle,,7,void,,9,idle,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_12,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_12,False,,17,idle,,black,black,1.0,event_bgm_ce002_story_1,Vignetting,Grey,,15,idle,,13,idle,,5,idle,,7,void,,9,idle,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_13,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_13,False,,17,idle,,7,7,1.0,,Vignetting,,,15,idle,,13,idle,,5,idle,,7,void,,9,idle,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_14,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_14,False,,17,idle,Factory_n,17,17,1.0,,Vignetting,,product12,15,idle,notmassproduction,13,idle,,5,idle,,7,void,,9,idle,6000d_02,c1002_02,rapi,anis,neon,,,,,,,,,,,,,
re_event_ce02_2_05_e_15,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_15,False,,17,idle,,17,14,1.0,,Vignetting,,,15,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_16,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_16,False,,17,idle,,14,14,1.0,,Vignetting,,,15,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_17,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_17,False,,17,idle,,14,14,1.0,,Vignetting,,,15,idle,,13,idle,,,,,,,,,,product12,notmassproduction,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_18,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_18,False,,17,idle,,2,2,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,ce_02_01,1,idle,ce_02_npc_01,3,idle,,,,,,,
re_event_ce02_2_05_e_19,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_19,False,,17,idle,,2,2,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,1,idle,,3,idle,,,,,,,
re_event_ce02_2_05_e_20,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_20,False,,17,idle,,2,2,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,1,idle,,3,idle,,,,,,,
re_event_ce02_2_05_e_21,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_21,False,,17,idle,,2,2,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,1,idle,,3,idle,,,,,,,
re_event_ce02_2_05_e_22,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_22,False,,17,idle,,2,2,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,1,idle,,3,idle,,,,,,,
re_event_ce02_2_05_e_23,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_23,False,,17,idle,,17,170,1.5,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,1,idle,,3,idle,,,,,,,
re_event_ce02_2_05_e_24,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_24,False,,17,idle,,170,170,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,1,idle,,3,idle,ce_02_01,ce_02_npc_01,,,,,
re_event_ce02_2_05_e_25,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_25,False,,17,idle,,170,170,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_26,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_26,False,,17,idle,,170,170,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_27,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_27,False,,17,idle,,170,170,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_28,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_28,False,,17,idle,,170,170,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_29,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_29,False,,17,idle,,170,170,1.0,,Vignetting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_30,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_30,False,,17,idle,,170,170,1.0,,Vignetting,,,,,notmassproduction,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_31,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_31,False,,17,idle,,170,170,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_32,40083,re_event_ce02_2_05_e,Narration,Locale_SubScenario:event_ce02_2_05_e_32,False,,17,idle,,black,black,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,sfx_scn_finishshot,Low_2,,,
re_event_ce02_2_05_e_33,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_33,False,,17,idle,,13,13,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_34,40083,re_event_ce02_2_05_e,Narration,Locale_SubScenario:event_ce02_2_05_e_34,False,,17,idle,,black,black,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,sfx_scn_gunfire,Low_2,,,
re_event_ce02_2_05_e_35,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_35,False,,17,idle,,130,130,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_36,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_36,False,,17,idle,,130,130,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_37,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_37,False,,17,idle,,130,130,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_38,40083,re_event_ce02_2_05_e,Speech,Locale_SubScenario:event_ce02_2_05_e_38,True,,17,idle,,170,170,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,b0006_02,b0006_02,
re_event_ce02_2_05_e_39,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_39,False,,17,idle,,170,17,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_40,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_40,False,,17,idle,,17,17,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_41,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_41,False,,17,idle,,17,17,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_42,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_42,False,,17,idle,,17,17,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_43,40083,re_event_ce02_2_05_e,Narration,Locale_SubScenario:event_ce02_2_05_e_43,False,,17,idle,,black,black,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,sfx_scn_finishshot,Low_2,,,
re_event_ce02_2_05_e_44,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_44,False,,17,idle,,17,17,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_45,40083,re_event_ce02_2_05_e,Monologue,Locale_SubScenario:event_ce02_2_05_e_45,False,,17,idle,,17,17,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_event_ce02_2_05_e_46,40083,re_event_ce02_2_05_e,Speech,Locale_SubScenario:event_ce02_2_05_e_46,True,,17,idle,,13,13,1.0,,Vignetting,,,,,,13,idle,,,,,,,,,,,notmassproduction,,,,,,,,,,,,,,notmassproduction,notmassproduction,
