id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/5/hide_char_id,characters/6/hide_char_id
event_coinsinrush2_03_s_1,40089,event_coinsinrush2_03_s,Monologue,Locale_MainScenario:event_coinsinrush2_03_s_1,False,ade_b,5,idle,milk_b,3,good,exia_b,1,idle,bay_b,13,idle,rouge_b,15,expression,BriefingRoom,black,black,1.0,none,,,,,,,,,,,,,,,,,
event_coinsinrush2_03_s_2,40089,event_coinsinrush2_03_s,Speech,Locale_MainScenario:event_coinsinrush2_03_s_2,True,,5,idle,,3,good,,1,idle,,13,idle,,15,expression,,30,30,1.0,event_bgm_cir_startagem,milk_b,milk_b,,,,,,,,,,,,,,,
event_coinsinrush2_03_s_3,40089,event_coinsinrush2_03_s,Self,Locale_MainScenario:event_coinsinrush2_03_s_3,False,,5,idle,,3,good,,1,idle,,13,idle,,15,expression,,30,30,1.0,,milk_b,,,,,,,,,,,,,,,,
event_coinsinrush2_03_s_4,40089,event_coinsinrush2_03_s,Monologue,Locale_MainScenario:event_coinsinrush2_03_s_4,False,,5,idle,,3,good,,1,idle,,13,idle,,15,expression,,30,30,1.0,,milk_b,,,,,,,,,,,,,,,,
event_coinsinrush2_03_s_5,40089,event_coinsinrush2_03_s,Monologue,Locale_MainScenario:event_coinsinrush2_03_s_5,False,,5,idle,,3,good,,1,idle,,13,idle,,15,expression,,30,30,1.0,,milk_b,,,,,,,,,,,,,,,,
event_coinsinrush2_03_s_6,40089,event_coinsinrush2_03_s,Speech,Locale_MainScenario:event_coinsinrush2_03_s_6,True,,5,idle,,3,good,,1,idle,,13,idle,,15,expression,,30,4,1.0,,ade_b,ade_b,,,,,,,,,,,,,,,
event_coinsinrush2_03_s_7,40089,event_coinsinrush2_03_s,Speech,Locale_MainScenario:event_coinsinrush2_03_s_7,True,,5,idle,,3,good,,1,idle,,13,idle,,15,expression,,4,4,1.0,,ade_b,ade_b,,,,,,,,,,,,,,,
event_coinsinrush2_03_s_8,40089,event_coinsinrush2_03_s,Self,Locale_MainScenario:event_coinsinrush2_03_s_8,False,,5,idle,,3,good,,1,idle,,13,idle,,15,expression,,4,4,1.0,,ade_b,,,,,,,,,,,,,,,,
event_coinsinrush2_03_s_9,40089,event_coinsinrush2_03_s,Speech,Locale_MainScenario:event_coinsinrush2_03_s_9,True,,5,delight,,3,good,,1,idle,,13,idle,,15,expression,,4,4,1.0,,ade_b,ade_b,,,,,,,,,,,,,,,
event_coinsinrush2_03_s_10,40089,event_coinsinrush2_03_s,Speech,Locale_MainScenario:event_coinsinrush2_03_s_10,True,,5,delight,,3,good,,1,idle,,13,idle,,15,expression,,4,4,1.0,,milk_b,milk_b,,,,,,,,,,,,,,,
