id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,set_filter_01,set_filter_02
event_colorless_06_s_1,40054,event_colorless_06_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_06_s_1,True,zwei,1,surprise,privaty,3,sad,Wasteland_03_n,2,2,1.0,bgm_story_weare,,,,,,,,,,,,,,
event_colorless_06_s_2,40054,event_colorless_06_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_06_s_2,True,,1,surprise,,3,angry,,2,S_30,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_3,40054,event_colorless_06_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_06_s_3,True,,1,surprise,,3,angry,,S_30,S_30,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_4,40054,event_colorless_06_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_06_s_4,True,,1,surprise,,3,shy,,S_30,S_30,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_5,40054,event_colorless_06_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_06_s_5,True,,1,surprise,,3,shy,,S_30,S_30,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_6,40054,event_colorless_06_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_06_s_6,True,,1,surprise,,3,shy,,S_30,S_30,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_7,40054,event_colorless_06_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_06_s_7,True,,1,surprise,,3,shy,,S_30,S_30,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_8,40054,event_colorless_06_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_06_s_8,True,,1,surprise,,3,shy,,S_30,2,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_9,40054,event_colorless_06_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_06_s_9,True,,1,surprise,,3,shy,,2,2,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_10,40054,event_colorless_06_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_06_s_10,True,,1,surprise,,3,idle,,2,2,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_11,40054,event_colorless_06_s,Speech,privaty,privaty,Locale_SubScenario:event_colorless_06_s_11,True,,1,surprise,,3,idle,,2,2,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_12,40054,event_colorless_06_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_06_s_12,True,,1,shy,,3,idle,,2,2,1.0,,,,,,,,,,,,,,,
event_colorless_06_s_13,40054,event_colorless_06_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_06_s_13,True,,1,shy,,3,idle,,2,2,1.0,,,,,,,,,,,,,,,
