id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
snowfall_speech_blanc_06_11,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_11,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_12,80903,snowfall_speech_blanc_06,,Monologue,blanc_c,,Locale_SubScenario:snowfall_speech_blanc_06_12,False,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_13,80903,snowfall_speech_blanc_06,,Monologue,blanc_c,,Locale_SubScenario:snowfall_speech_blanc_06_13,False,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_14,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_14,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_15,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_15,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_16,80903,snowfall_speech_blanc_06,,Choice,blanc_c,,Locale_SubScenario:snowfall_speech_blanc_06_16,False,,,,,,,L_10,L_10,0,,,,100,,,None,None,snowfall_speech_blanc_06_18,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_17,80903,snowfall_speech_blanc_06,,Choice,blanc_c,,Locale_SubScenario:snowfall_speech_blanc_06_17,False,,,,,,,L_10,L_10,0,,,,100,,,None,None,snowfall_speech_blanc_06_20,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_18,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_18,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_19,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_19,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,snowfall_speech_blanc_06_23,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_20,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_20,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_21,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_21,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_22,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_22,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,snowfall_speech_blanc_06_23,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_23,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_23,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_24,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_24,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_25,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_25,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_26,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_26,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_27,80903,snowfall_speech_blanc_06,,Self,blanc_c,,Locale_SubScenario:snowfall_speech_blanc_06_27,False,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_28,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_28,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_29,80903,snowfall_speech_blanc_06,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_blanc_06_29,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_blanc_06_30,80903,snowfall_speech_blanc_06,,Narration,blanc_c,,Locale_SubScenario:snowfall_speech_blanc_06_30,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
