id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
1ann_mini_prologue_1,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_1,True,snowwhite_o,1,no,redhood,13,idle,Armory,130,130,1.0,event_bgm_redash_minigame_story1
1ann_mini_prologue_2,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_2,False,,1,no,,13,idle,,130,S_10,1.0,
1ann_mini_prologue_3,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_3,True,,1,no,,13,smile,,S_10,12,1.0,
1ann_mini_prologue_4,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_4,True,,1,shy,,13,smile,,12,12,1.0,
1ann_mini_prologue_5,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_5,True,,1,shy,,13,idle,,12,12,1.0,
1ann_mini_prologue_6,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_6,True,,1,shy,,13,surprise,,12,12,1.0,
1ann_mini_prologue_7,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_7,True,,1,shy,,13,think,,12,12,1.0,
1ann_mini_prologue_8,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_8,True,,1,shy,,13,think,,12,S_10,1.0,
1ann_mini_prologue_9,80803,1ann_mini_prologue,Speech,snowwhite_o,redhood,Locale_SubScenario:1ann_mini_prologue_9,False,,1,shy,,13,think,,S_10,S_10,1.0,
1ann_mini_prologue_10,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_10,True,,1,sad,,13,think,,S_10,S_10,1.0,
1ann_mini_prologue_11,80803,1ann_mini_prologue,Speech,snowwhite_o,redhood,Locale_SubScenario:1ann_mini_prologue_11,False,,1,sad,,13,think,,S_10,S_100,2.0,
1ann_mini_prologue_12,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_12,True,,1,sad,,13,think,,S_100,S_10,1.0,
1ann_mini_prologue_13,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_13,True,,1,sad,,13,no,,130,130,1.0,
1ann_mini_prologue_14,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_14,True,,1,sad,,13,no,,130,12,1.0,
1ann_mini_prologue_15,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_15,True,,1,sad,,13,no,,12,12,1.0,
1ann_mini_prologue_16,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_16,True,,1,sad,,13,no,,12,12,1.0,
1ann_mini_prologue_17,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_17,True,,1,shy,,13,idle,,12,12,1.0,
1ann_mini_prologue_18,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_18,True,,1,shy,,13,surprise,,12,12,1.0,
1ann_mini_prologue_19,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_19,True,,1,shy,,13,smile,,12,12,1.0,
1ann_mini_prologue_20,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_20,True,,1,shy,,13,smile,,12,12,1.0,
1ann_mini_prologue_21,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_21,False,,1,delight,,13,smile,,12,12,1.0,
1ann_mini_prologue_22,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_22,True,,1,delight,,13,think,,12,130,1.0,
1ann_mini_prologue_23,80803,1ann_mini_prologue,Speech,snowwhite_o,snowwhite_o,Locale_SubScenario:1ann_mini_prologue_23,True,,1,surprise,,13,think,,S_10,S_10,1.0,
1ann_mini_prologue_24,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_24,True,,1,surprise,,13,think,,130,130,1.0,
1ann_mini_prologue_25,80803,1ann_mini_prologue,Speech,redhood,redhood,Locale_SubScenario:1ann_mini_prologue_25,True,,1,surprise,,13,think,,130,1300,2.0,
