id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade
event_lastkingdom1_b01_e_1,40045,event_lastkingdom1_b01_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_b01_e_1,True,crown,1,idle,chime,3,void,marian_q,13,void,kilo,15,idle,CrownCasltePanorama_d,10,10,1.0,none,,,,,,,,,,,
event_lastkingdom1_b01_e_2,40045,event_lastkingdom1_b01_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_b01_e_2,True,,1,idle,,3,void,,13,void,,15,idle,,10,130,1.0,,,,,,,,,,,,
event_lastkingdom1_b01_e_3,40045,event_lastkingdom1_b01_e,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_b01_e_3,True,,1,idle,,3,void,,13,void,,15,idle,,130,S_150,1.0,,,,,,,,,,,,
event_lastkingdom1_b01_e_4,40045,event_lastkingdom1_b01_e,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_b01_e_4,True,,1,idle,,3,void,,13,void,,15,idle,,XXS_30,XXS_30,1.0,,,,,,,,,,,,
event_lastkingdom1_b01_e_5,40045,event_lastkingdom1_b01_e,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_b01_e_5,True,,1,idle,,3,void,,13,void,,15,idle,,XXS_30,XXS_30,1.0,,,,,,,,,,,,
event_lastkingdom1_b01_e_6,40045,event_lastkingdom1_b01_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_b01_e_6,True,,1,idle,,3,void,,13,void,,15,idle,,XXS_30,10,1.0,,,,,,,,,,,,
event_lastkingdom1_b01_e_7,40045,event_lastkingdom1_b01_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_b01_e_7,True,,1,idle,,3,void,,13,void,,15,idle,,10,10,1.0,,,,,,,,,,,,
event_lastkingdom1_b01_e_8,40045,event_lastkingdom1_b01_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_b01_e_8,True,,1,idle,,3,void,,13,void,,15,idle,,10,100,1.0,none,,,,,,,,,,,
event_lastkingdom1_b01_e_9,40045,event_lastkingdom1_b01_e,Narration,,,Locale_MainScenario:event_lastkingdom1_b01_e_9,False,,1,idle,,3,void,,13,void,,15,idle,land_d,black,black,1.0,event_bgm_lastkingdom_whisperoffear,crown,chime,marian_q,kilo,indivilia,1,special,talkative,13,idle,black
event_lastkingdom1_b01_e_10,40045,event_lastkingdom1_b01_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom1_b01_e_10,False,,,,,,,,,,,,,,L_10,L_10,1.0,,,,,,,1,special,,13,idle,
event_lastkingdom1_b01_e_11,40045,event_lastkingdom1_b01_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom1_b01_e_11,False,,,,,,,,,,,,,,L_10,XS_130,1.0,,,,,,,1,delight,,13,idle,
event_lastkingdom1_b01_e_12,40045,event_lastkingdom1_b01_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom1_b01_e_12,True,,,,,,,,,,,,,,XS_130,113,1.0,,,,,,,1,delight,,13,idle,
event_lastkingdom1_b01_e_13,40045,event_lastkingdom1_b01_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom1_b01_e_13,True,,,,,,,,,,,,,,113,113,1.0,,,,,,,1,delight,,13,idle,
