id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
event_hightechtoy_01_e_1,40002,event_hightechtoy_01_e,Self,Locale_SubScenario:event_hightechtoy_01_e_1,False,laplace,1,idle,drake,13,idle,maxwell_w,15,idle,CityForest_01,150,150,1.0,bgm_story_leisuretime,,
event_hightechtoy_01_e_2,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_2,True,,1,idle,,13,idle,,15,idle,,150,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_3,40002,event_hightechtoy_01_e,Self,Locale_SubScenario:event_hightechtoy_01_e_3,False,,1,idle,,13,idle,,15,idle,,150,150,1.0,,,
event_hightechtoy_01_e_4,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_4,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,laplace,laplace
event_hightechtoy_01_e_5,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_5,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,laplace,laplace
event_hightechtoy_01_e_6,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_6,True,,1,idle,,13,delight,,15,idle,,S_10,130,1.0,,drake,drake
event_hightechtoy_01_e_7,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_7,True,,1,idle,,13,delight,,15,idle,,130,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_8,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_8,True,,1,idle,,13,idle,,15,idle,,150,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_9,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_9,True,,1,idle,,13,idle,,15,idle,,150,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_10,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_10,True,,1,idle,,13,idle,,15,idle,,150,1500,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_11,40002,event_hightechtoy_01_e,Self,Locale_SubScenario:event_hightechtoy_01_e_11,False,,1,idle,,13,idle,,15,idle,,1500,1500,1.0,,,
event_hightechtoy_01_e_12,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_12,True,,1,idle,,13,idle,,15,idle,,1500,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_13,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_13,True,,1,idle,,13,idle,,15,idle,,150,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_14,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_14,True,,1,idle,,13,idle,,15,idle,,150,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_15,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_15,True,,1,idle,,13,idle,,15,idle,,150,1315,1.0,,drake,drake
event_hightechtoy_01_e_16,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_16,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_17,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_17,True,,1,idle,,13,no,,15,idle,,1315,1315,1.0,,drake,drake
event_hightechtoy_01_e_18,40002,event_hightechtoy_01_e,Self,Locale_SubScenario:event_hightechtoy_01_e_18,False,,1,idle,,13,no,,15,idle,,1315,150,1.0,,,
event_hightechtoy_01_e_19,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_19,True,,1,idle,,13,no,,15,idle,,150,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_20,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_20,True,,1,idle,,13,idle,,15,idle,,150,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_21,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_21,True,,1,idle,,13,idle,,15,idle,,150,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_22,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_22,True,,1,idle,,13,idle,,15,idle,,150,S_10,1.0,,laplace,laplace
event_hightechtoy_01_e_23,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_23,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,laplace,laplace
event_hightechtoy_01_e_24,40002,event_hightechtoy_01_e,Monologue,Locale_SubScenario:event_hightechtoy_01_e_24,False,,5,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,
event_hightechtoy_01_e_25,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_25,True,,5,idle,,13,angry,,15,idle,,130,130,1.0,,drake,drake
event_hightechtoy_01_e_26,40002,event_hightechtoy_01_e,Monologue,Locale_SubScenario:event_hightechtoy_01_e_26,False,,5,idle,,3,idle,,15,idle,,130,130,1.0,,,
event_hightechtoy_01_e_27,40002,event_hightechtoy_01_e,Speech,Locale_SubScenario:event_hightechtoy_01_e_27,True,,5,idle,,3,idle,,15,angry,,150,150,1.0,,maxwell_w,maxwell_w
event_hightechtoy_01_e_28,40002,event_hightechtoy_01_e,Self,Locale_SubScenario:event_hightechtoy_01_e_28,False,,5,idle,,3,idle,,15,angry,,black,black,1.0,,,
