id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,set_filter_02,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_miraclesnow2_02_s_1,40004,event_miraclesnow2_02_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_02_s_1,True,rupee_w,1,idle_02,anne,3,think,City_d,31,31,1.0,event_bgm_2022winter,,,,,,,,,,
event_miraclesnow2_02_s_2,40004,event_miraclesnow2_02_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow2_02_s_2,True,,1,idle_02,,3,think,,31,31,1.0,,,,,,,,,,,
event_miraclesnow2_02_s_3,40004,event_miraclesnow2_02_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_02_s_3,True,,1,idle_02,,3,think,,31,31,1.0,,,,,,,,,,,
event_miraclesnow2_02_s_4,40004,event_miraclesnow2_02_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow2_02_s_4,True,,1,idle_02,,3,think,,31,31,1.0,,,,,,,,,,,
event_miraclesnow2_02_s_5,40004,event_miraclesnow2_02_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow2_02_s_5,True,,1,idle_02,,3,surprise,,31,S_30,0.5,,,,,,,,,,,
event_miraclesnow2_02_s_6,40004,event_miraclesnow2_02_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow2_02_s_6,True,,1,idle_02,,3,delight,,S_30,S_30,1.0,,,,,,,,,,,
event_miraclesnow2_02_s_7,40004,event_miraclesnow2_02_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_02_s_7,True,,1,idle_02,,3,delight,,L_10,L_10,1.0,,,,,,,,,,,
event_miraclesnow2_02_s_8,40004,event_miraclesnow2_02_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_02_s_8,True,,1,idle_02,,3,delight,,L_10,L_10,1.0,,,,,,,,,,,
event_miraclesnow2_02_s_9,40004,event_miraclesnow2_02_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow2_02_s_9,True,,1,idle_02,,3,surprise,,S_30,S_30,1.0,,,,,,,,,,,
event_miraclesnow2_02_s_10,40004,event_miraclesnow2_02_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_02_s_10,True,,1,idle_02,,3,surprise,,L_10,L_10,1.0,,,,,,,,,,,
