id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_freezeacpu_05_s_1,40030,event_freezeacpu_05_s,,Narration,,,Locale_SubScenario:event_freezeacpu_05_s_1,False,Park_n,,,,,,black,black,0,,,,100,none,,None,None,,None,False,poli,,1,idle,anis,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_2,40030,event_freezeacpu_05_s,,Narration,,,Locale_SubScenario:event_freezeacpu_05_s_2,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_3,40030,event_freezeacpu_05_s,,Speech,poli,poli,Locale_SubScenario:event_freezeacpu_05_s_3,True,,,,,,,113,113,0,,,,100,bgm_inark,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_4,40030,event_freezeacpu_05_s,,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_05_s_4,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_5,40030,event_freezeacpu_05_s,,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_05_s_5,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_6,40030,event_freezeacpu_05_s,,Speech,poli,poli,Locale_SubScenario:event_freezeacpu_05_s_6,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_7,40030,event_freezeacpu_05_s,,Speech,littlegirl,littlegirl,Locale_SubScenario:event_freezeacpu_05_s_7,True,,,,,,,113,1517,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_8,40030,event_freezeacpu_05_s,,Speech,littleboy,littleboy,Locale_SubScenario:event_freezeacpu_05_s_8,True,,,,,,,1517,1517,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_9,40030,event_freezeacpu_05_s,,Speech,littleboy,littleboy,Locale_SubScenario:event_freezeacpu_05_s_9,True,,,,,,,1517,1517,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_10,40030,event_freezeacpu_05_s,,Speech,littlegirl,littlegirl,Locale_SubScenario:event_freezeacpu_05_s_10,True,,,,,,,1517,1517,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_11,40030,event_freezeacpu_05_s,,Speech,poli,poli,Locale_SubScenario:event_freezeacpu_05_s_11,True,,,,,,,1517,113,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_12,40030,event_freezeacpu_05_s,,Speech,poli,poli,Locale_SubScenario:event_freezeacpu_05_s_12,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_13,40030,event_freezeacpu_05_s,,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_05_s_13,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_14,40030,event_freezeacpu_05_s,,Speech,fancywoman02,fancywoman02,Locale_SubScenario:event_freezeacpu_05_s_14,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,fancywoman02,,3,idle,staff,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_15,40030,event_freezeacpu_05_s,,Speech,fancywoman02,fancywoman02,Locale_SubScenario:event_freezeacpu_05_s_15,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_16,40030,event_freezeacpu_05_s,,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_05_s_16,True,,,,,,,113,130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_17,40030,event_freezeacpu_05_s,,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_05_s_17,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_18,40030,event_freezeacpu_05_s,,Speech,poli,poli,Locale_SubScenario:event_freezeacpu_05_s_18,True,,,,,,,130,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_19,40030,event_freezeacpu_05_s,,Speech,poli,poli,Locale_SubScenario:event_freezeacpu_05_s_19,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_20,40030,event_freezeacpu_05_s,,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_05_s_20,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_21,40030,event_freezeacpu_05_s,,Speech,staff,staff,Locale_SubScenario:event_freezeacpu_05_s_21,True,,,,,,,XS_10,53,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_22,40030,event_freezeacpu_05_s,,Speech,staff,staff,Locale_SubScenario:event_freezeacpu_05_s_22,True,,,,,,,53,53,0,,,,100,none,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_23,40030,event_freezeacpu_05_s,,Speech,staff,staff,Locale_SubScenario:event_freezeacpu_05_s_23,True,,,,,,,53,53,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_24,40030,event_freezeacpu_05_s,,Speech,fancywoman02,fancywoman02,Locale_SubScenario:event_freezeacpu_05_s_24,True,,,,,,,53,53,0,,,,100,bgm_enemyclose,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_25,40030,event_freezeacpu_05_s,,Speech,fancywoman02,fancywoman02,Locale_SubScenario:event_freezeacpu_05_s_25,True,,,,,,,53,53,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_26,40030,event_freezeacpu_05_s,,Speech,fancywoman02,fancywoman02,Locale_SubScenario:event_freezeacpu_05_s_26,True,,,,,,,53,53,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_freezeacpu_05_s_27,40030,event_freezeacpu_05_s,,Speech,staff,staff,Locale_SubScenario:event_freezeacpu_05_s_27,True,,,,,,,53,53,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
