id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,set_camera_shake,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_goldencoinrush2_06_s_1,40049,event_goldencoinrush2_06_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_06_s_1,True,mustang,7,idle,CoinRushMainHall,7,7,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,
event_goldencoinrush2_06_s_2,40049,event_goldencoinrush2_06_s,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_06_s_2,True,,7,idle,,7,4,1.0,,soda_b,5,sad,blanc,3,think,,,,,
event_goldencoinrush2_06_s_3,40049,event_goldencoinrush2_06_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_06_s_3,True,,7,idle,,4,4,1.0,,,5,sad,,3,think,,,,,
event_goldencoinrush2_06_s_4,40049,event_goldencoinrush2_06_s,Speech,soda_b,mustang,Locale_MainScenario:event_goldencoinrush2_06_s_4,False,,7,idle,,4,4,1.0,,,5,sad,,3,think,,,,,
event_goldencoinrush2_06_s_5,40049,event_goldencoinrush2_06_s,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_06_s_5,True,,7,idle,,4,4,1.0,,,5,sad,,3,think,,,,,
event_goldencoinrush2_06_s_6,40049,event_goldencoinrush2_06_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_06_s_6,True,,7,idle,,4,4,1.0,,,5,sad,,3,think,,,,,
event_goldencoinrush2_06_s_7,40049,event_goldencoinrush2_06_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_06_s_7,True,,7,idle,,4,7,1.0,,,5,sad,,3,think,,,,,
event_goldencoinrush2_06_s_8,40049,event_goldencoinrush2_06_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_06_s_8,True,,7,angry,,7,6,1.0,,,5,sad,,3,think,,,,,
event_goldencoinrush2_06_s_9,40049,event_goldencoinrush2_06_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_06_s_9,True,,7,angry,,6,6,1.0,,,5,sad,,3,think,,,,,
event_goldencoinrush2_06_s_10,40049,event_goldencoinrush2_06_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_06_s_10,True,,7,angry,,6,6,1.0,,,5,sad,,3,think,,,,,
event_goldencoinrush2_06_s_11,40049,event_goldencoinrush2_06_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_06_s_11,True,,7,angry,,6,6,1.0,,,5,sad,,3,think,,,,,
