id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_maidinvalentine_01_e_1,40007,event_maidinvalentine_01_e,,Monologue,,,Locale_SubScenario:event_maidinvalentine_01_e_1,False,Cafe,,,,,,black,black,0,,,,100,bgm_story_breakaway,,None,None,,None,False,cocoa,,1,serious,soda,,13,serious,ade,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_maidinvalentine_01_e_2,40007,event_maidinvalentine_01_e,,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_01_e_2,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,serious,,,13,serious,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_maidinvalentine_01_e_3,40007,event_maidinvalentine_01_e,,Choice,,,Locale_SubScenario:event_maidinvalentine_01_e_3,False,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,event_maidinvalentine_01_e_5,None,False,,,1,serious,,,13,serious,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_maidinvalentine_01_e_4,40007,event_maidinvalentine_01_e,,Choice,,,Locale_SubScenario:event_maidinvalentine_01_e_4,False,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,event_maidinvalentine_01_e_5,None,False,,,1,serious,,,13,serious,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_maidinvalentine_01_e_5,40007,event_maidinvalentine_01_e,,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_01_e_5,True,,,,,,,XS_10,S_130,0,,,,100,,,None,None,,None,False,,,1,serious,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_maidinvalentine_01_e_6,40007,event_maidinvalentine_01_e,,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_01_e_6,True,,,,,,,S_130,S_130,0,,,,100,,,None,None,,None,False,,,1,serious,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_maidinvalentine_01_e_7,40007,event_maidinvalentine_01_e,,Choice,,,Locale_SubScenario:event_maidinvalentine_01_e_7,False,,,,,,,S_130,S_130,0,,,,100,,,None,None,event_maidinvalentine_01_e_9,None,False,,,1,serious,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_maidinvalentine_01_e_8,40007,event_maidinvalentine_01_e,,Choice,,,Locale_SubScenario:event_maidinvalentine_01_e_8,False,,,,,,,S_130,S_130,0,,,,100,,,None,None,event_maidinvalentine_01_e_14,None,False,,,1,serious,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_maidinvalentine_01_e_9,40007,event_maidinvalentine_01_e,,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_01_e_9,True,,,,,,,S_130,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_maidinvalentine_01_e_10,40007,event_maidinvalentine_01_e,,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_01_e_10,True,,,,,,,XS_10,113,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,sad,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
