id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_trueflavor_05_e_1,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_1,False,RuinIndoor,,,,,,S_200,S_200,0,,,,100,bgm_story_monochrome,,Grey,None,,None,False,bready,,2,special,crust,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_trueflavor_05_e_2,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_2,True,,,,,,,S_200,S_20,-858993459,,,,100,,,Grey,None,,None,False,,,2,special,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_trueflavor_05_e_3,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_3,True,,,,,,,S_20,S_20,0,,,,100,,,Grey,None,,None,False,,,2,delight,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_trueflavor_05_e_4,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_4,True,,,,,,,S_20,S_20,0,,,,100,,,Grey,None,,None,False,,,2,delight,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_trueflavor_05_e_5,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_5,True,,,,,,,S_20,S_20,0,,,,100,,,Grey,None,,None,False,,,2,delight,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_trueflavor_05_e_6,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_6,True,Kitchen,,,,,,black,black,0,,,,100,,,Grey,None,,None,False,,,2,special,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_trueflavor_05_e_7,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_7,True,,,,,,,S_20,S_20,0,,,,100,,,Grey,None,,None,False,,,2,special,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_trueflavor_05_e_8,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_8,True,,,,,,,S_20,S_20,0,,,,100,,,Grey,None,,None,False,,,2,delight,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_trueflavor_05_e_9,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_9,True,,,,,,,S_20,S_20,0,,,,100,,,Grey,None,,None,False,,,2,delight,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_trueflavor_05_e_10,40074,event_trueflavor_05_e,,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_10,True,,,,,,,S_20,S_20,0,,,,100,,,Grey,None,,None,False,,,2,delight,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
