id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,fade,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,set_camera_shake
event_icedragonsaga1_06_s_1,40064,event_icedragonsaga1_06_s,Speech,volume_c,volume_c,Locale_MainScenario:event_icedragonsaga1_06_s_1,True,volume_c,1,angry,SnowTown_d,S_10,S_10,1.0,bgm_story_cottoncandy,,,,,,,,,,,,
event_icedragonsaga1_06_s_2,40064,event_icedragonsaga1_06_s,Speech,volume_c,volume_c,Locale_MainScenario:event_icedragonsaga1_06_s_2,True,,1,angry,,S_10,S_10,1.0,,,,,,,,,,,,,
event_icedragonsaga1_06_s_3,40064,event_icedragonsaga1_06_s,Speech,volume_c,volume_c,Locale_MainScenario:event_icedragonsaga1_06_s_3,True,,1,angry,,S_10,S_10,1.0,,,,,,,,,,,,,
event_icedragonsaga1_06_s_4,40064,event_icedragonsaga1_06_s,Self,volume_c,,Locale_MainScenario:event_icedragonsaga1_06_s_4,False,,1,angry,,S_10,S_10,1.0,,,,,,,,,,,,,
event_icedragonsaga1_06_s_5,40064,event_icedragonsaga1_06_s,Speech,volume_c,volume_c,Locale_MainScenario:event_icedragonsaga1_06_s_5,True,,1,sad,,S_10,S_10,1.0,,,,,,,,,,,,,
event_icedragonsaga1_06_s_6,40064,event_icedragonsaga1_06_s,Speech,volume_c,volume_c,Locale_MainScenario:event_icedragonsaga1_06_s_6,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,
event_icedragonsaga1_06_s_7,40064,event_icedragonsaga1_06_s,Self,volume_c,,Locale_MainScenario:event_icedragonsaga1_06_s_7,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,
event_icedragonsaga1_06_s_8,40064,event_icedragonsaga1_06_s,Self,volume_c,,Locale_MainScenario:event_icedragonsaga1_06_s_8,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,
event_icedragonsaga1_06_s_9,40064,event_icedragonsaga1_06_s,Speech,volume_c,volume_c,Locale_MainScenario:event_icedragonsaga1_06_s_9,True,,1,delight,,S_10,1,1.0,,,,,,,,,,,,,
event_icedragonsaga1_06_s_10,40064,event_icedragonsaga1_06_s,Speech,narration,narration,Locale_MainScenario:event_icedragonsaga1_06_s_10,False,,1,delight,EventScene_icedragonsaga_02_2,1,1,1.0,,volume_c,,,,,,,,,,,
event_icedragonsaga1_06_s_11,40064,event_icedragonsaga1_06_s,Narration,,,Locale_MainScenario:event_icedragonsaga1_06_s_11,False,,,,,1,1,1.0,,,sfx_scn_retromessage,,,,,,,,,,
