id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,speaker,play_sound
snowfall_episode_noir_01_1,80903,snowfall_episode_noir_01,Monologue,noir_c,Locale_SubScenario:snowfall_episode_noir_01_1,False,noir_c,1,idle,BambooForest_d,6,1,1.0,amb_so_bambooforest_1,event_bgm_neverland_snowflakes_day,,,,
snowfall_episode_noir_01_2,80903,snowfall_episode_noir_01,Monologue,noir_c,Locale_SubScenario:snowfall_episode_noir_01_2,False,,1,idle,,1,1,1.0,,,,,,
snowfall_episode_noir_01_3,80903,snowfall_episode_noir_01,Choice,noir_c,Locale_SubScenario:snowfall_episode_noir_01_3,False,,1,idle,,1,1,1.0,,,snowfall_episode_noir_01_6,,,
snowfall_episode_noir_01_4,80903,snowfall_episode_noir_01,Choice,noir_c,Locale_SubScenario:snowfall_episode_noir_01_4,False,,1,idle,,1,1,1.0,,,snowfall_episode_noir_01_5,,,
snowfall_episode_noir_01_5,80903,snowfall_episode_noir_01,Monologue,noir_c,Locale_SubScenario:snowfall_episode_noir_01_5,False,,1,idle,,black,black,1.0,,,,True,,
snowfall_episode_noir_01_6,80903,snowfall_episode_noir_01,Monologue,noir_c,Locale_SubScenario:snowfall_episode_noir_01_6,False,,1,idle,,1,1,1.0,,,,,,
snowfall_episode_noir_01_7,80903,snowfall_episode_noir_01,Monologue,noir_c,Locale_SubScenario:snowfall_episode_noir_01_7,False,,1,idle,,1,L_10,1.0,,,,,,
snowfall_episode_noir_01_8,80903,snowfall_episode_noir_01,Monologue,noir_c,Locale_SubScenario:snowfall_episode_noir_01_8,False,,1,idle,,L_10,L_10,1.0,,,,,,
snowfall_episode_noir_01_9,80903,snowfall_episode_noir_01,Self,noir_c,Locale_SubScenario:snowfall_episode_noir_01_9,False,,1,idle,,L_10,L_10,1.0,,,,,,
snowfall_episode_noir_01_10,80903,snowfall_episode_noir_01,Speech,noir_c,Locale_SubScenario:snowfall_episode_noir_01_10,False,,1,idle,,L_10,L_10,1.0,,,,,noir_c,
snowfall_episode_noir_01_11,80903,snowfall_episode_noir_01,Self,noir_c,Locale_SubScenario:snowfall_episode_noir_01_11,False,,1,idle,,L_10,L_10,1.0,,,,,,
snowfall_episode_noir_01_12,80903,snowfall_episode_noir_01,Speech,noir_c,Locale_SubScenario:snowfall_episode_noir_01_12,True,,1,no,,L_10,L_100,0.6,,,,,noir_c,
snowfall_episode_noir_01_13,80903,snowfall_episode_noir_01,Speech,noir_c,Locale_SubScenario:snowfall_episode_noir_01_13,True,,1,surprise,,L_100,L_100,1.0,,,,,noir_c,
snowfall_episode_noir_01_14,80903,snowfall_episode_noir_01,Speech,noir_c,Locale_SubScenario:snowfall_episode_noir_01_14,True,,1,surprise,,L_100,L_10,1.0,,,,,noir_c,
snowfall_episode_noir_01_15,80903,snowfall_episode_noir_01,Self,noir_c,Locale_SubScenario:snowfall_episode_noir_01_15,False,,1,surprise,,L_10,L_10,1.0,,,,,,
snowfall_episode_noir_01_16,80903,snowfall_episode_noir_01,Speech,noir_c,Locale_SubScenario:snowfall_episode_noir_01_16,True,,1,idle,,L_10,L_10,1.0,,,,,noir_c,
snowfall_episode_noir_01_17,80903,snowfall_episode_noir_01,Speech,noir_c,Locale_SubScenario:snowfall_episode_noir_01_17,True,,1,idle,,L_10,L_10,1.0,,,,,noir_c,
snowfall_episode_noir_01_18,80903,snowfall_episode_noir_01,Monologue,noir_c,Locale_SubScenario:snowfall_episode_noir_01_18,False,,1,idle,,L_10,15,1.0,,,,,,
