id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,fade,jump_target,play_sound,set_filter_01,set_camera_shake,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_ex_seayouagain_15_1,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_1,True,anis_s,9,angry,anchor,3,idle,helm_s,1,idle,LogHouseOut_n,9,XS_90,0.5,none,,,,,,,,,
d_ex_seayouagain_15_2,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_2,True,,9,angry,,3,idle,,1,idle,,XS_90,XS_90,1.0,bgm_story_prism,,,,,,,,,
d_ex_seayouagain_15_3,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_3,True,,9,angry,,3,idle,,1,idle,,XS_90,XS_90,1.0,,,,,,,,,,
d_ex_seayouagain_15_4,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_4,True,,9,angry,,3,idle,,1,idle,,XS_90,XS_90,1.0,,,,,,,,,,
d_ex_seayouagain_15_5,80600,d_ex_seayouagain_15,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_15_5,False,,9,angry,,3,idle,,1,think,,10,10,2.0,,,,,,,,,,
d_ex_seayouagain_15_6,80600,d_ex_seayouagain_15,Speech,anchor,anchor,Locale_SuddenStory:d_ex_seayouagain_15_6,False,,9,angry,,3,sad,,1,think,,S_30,S_30,2.0,,,,,,,,,,
d_ex_seayouagain_15_7,80600,d_ex_seayouagain_15,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_15_7,True,,9,angry,,3,sad,,1,idle,,S_30,10,1.0,,,,,,,,,,
d_ex_seayouagain_15_8,80600,d_ex_seayouagain_15,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_15_8,True,,9,angry,,3,sad,,1,idle,,10,10,1.0,,,,,,,,,,
d_ex_seayouagain_15_9,80600,d_ex_seayouagain_15,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_15_9,True,,9,angry,,3,idle,,1,sad,,10,10,1.0,,,,,,,,,,
d_ex_seayouagain_15_10,80600,d_ex_seayouagain_15,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_15_10,True,,9,angry,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,
d_ex_seayouagain_15_11,80600,d_ex_seayouagain_15,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_15_11,True,,9,angry,,3,idle,,1,idle,,10,XS_90,1.0,,,,,,,,,,
d_ex_seayouagain_15_12,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_12,True,,9,worry,,3,idle,,1,idle,,XS_90,XS_90,1.0,,,,,,,,,,
d_ex_seayouagain_15_13,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_13,True,,9,worry,,3,idle,,1,idle,,XS_90,XS_90,1.0,,,,,,,,,,
d_ex_seayouagain_15_14,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_14,True,,9,void,,3,idle,,1,idle,,XS_90,XS_90,1.0,,,,,,,,,,
d_ex_seayouagain_15_15,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_15,True,,9,void,,3,idle,,1,idle,,XS_90,XS_90,1.0,,,,,,,,,,
d_ex_seayouagain_15_16,80600,d_ex_seayouagain_15,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_15_16,True,,9,void,,3,idle,,1,surprise,,10,10,1.0,,,,,,,,,,
d_ex_seayouagain_15_17,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_17,True,,9,void,,3,idle,,1,idle,,XS_90,XS_90,1.0,,,,,,,,,,
d_ex_seayouagain_15_18,80600,d_ex_seayouagain_15,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_15_18,True,,9,void,,3,idle,,1,idle,,XS_90,XS_90,1.0,,,,,,,,,,
d_ex_seayouagain_15_19,80600,d_ex_seayouagain_15,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_15_19,False,,9,void,,3,idle,,1,think,,XS_90,10,2.0,,anis_s,,,,,,,,
d_ex_seayouagain_15_20,80600,d_ex_seayouagain_15,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_15_20,True,,,,,3,idle,,1,idle,,10,10,1.0,,,,,,,,,,
