id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
event_seayouagain2_02_s_1,40025,event_seayouagain2_02_s,Narration,Narration,Locale_MainScenario:event_seayouagain2_02_s_1,False,anis_s,1,worry,neon_s,3,idle,liter_s,5,idle,frima_s,7,idle,yan_s,15,idle,pepper_s,17,surprise,Beach_d,black,black,1.0,bgm_story_fairytalesend_if,,,,,,,,
event_seayouagain2_02_s_2,40025,event_seayouagain2_02_s,Speech,anis,Locale_MainScenario:event_seayouagain2_02_s_2,True,,1,worry,,3,idle,,5,idle,,7,idle,,15,idle,,17,surprise,,1,XS_10,1.0,,anis_s,,,,,,,
event_seayouagain2_02_s_3,40025,event_seayouagain2_02_s,Speech,anis,Locale_MainScenario:event_seayouagain2_02_s_3,True,,1,worry,,3,idle,,5,idle,,7,idle,,15,idle,,17,surprise,,XS_10,XS_10,1.0,,anis_s,,,,,,,
event_seayouagain2_02_s_4,40025,event_seayouagain2_02_s,Speech,anis,Locale_MainScenario:event_seayouagain2_02_s_4,True,,1,worry,,3,idle,,5,idle,,7,idle,,15,idle,,17,surprise,,XS_10,XS_10,1.0,,anis_s,,,,,,,
event_seayouagain2_02_s_5,40025,event_seayouagain2_02_s,Speech,pepper,Locale_MainScenario:event_seayouagain2_02_s_5,True,,1,worry,,3,idle,,5,idle,,7,idle,,15,idle,,17,surprise,,XS_170,XS_170,1.0,,pepper_s,,,,,,,
event_seayouagain2_02_s_6,40025,event_seayouagain2_02_s,Speech,pepper,Locale_MainScenario:event_seayouagain2_02_s_6,True,,1,worry,,3,idle,,5,idle,,7,idle,,15,idle,,17,surprise,,XS_170,XS_170,1.0,,pepper_s,,,,,,,
event_seayouagain2_02_s_7,40025,event_seayouagain2_02_s,Speech,neon,Locale_MainScenario:event_seayouagain2_02_s_7,True,,1,worry,,3,idle,,5,idle,,7,idle,,15,idle,,17,surprise,,XS_30,XS_30,1.0,,neon_s,,,,,,,
event_seayouagain2_02_s_8,40025,event_seayouagain2_02_s,Speech,neon,Locale_MainScenario:event_seayouagain2_02_s_8,True,,1,worry,,3,idle,,5,idle,,7,idle,,15,idle,,17,surprise,,XS_30,XS_30,1.0,,neon_s,,,,,,,
event_seayouagain2_02_s_9,40025,event_seayouagain2_02_s,Speech,neon,Locale_MainScenario:event_seayouagain2_02_s_9,True,,1,worry,,3,idle,,5,idle,,7,idle,,15,idle,,17,idle,,XS_30,XS_300,1.0,,neon_s,,,,,,,
event_seayouagain2_02_s_10,40025,event_seayouagain2_02_s,Speech,neon,Locale_MainScenario:event_seayouagain2_02_s_10,True,,1,worry,,3,idle,,5,idle,,7,idle,,15,idle,,17,idle,,XS_300,XS_300,1.0,,neon_s,,,,,,,
event_seayouagain2_02_s_11,40025,event_seayouagain2_02_s,Speech,anis,Locale_MainScenario:event_seayouagain2_02_s_11,True,,1,no,,3,idle,,5,idle,,7,idle,,15,idle,,17,idle,,XS_300,31,1.0,,anis_s,,,,,,,
event_seayouagain2_02_s_12,40025,event_seayouagain2_02_s,Speech,neon,Locale_MainScenario:event_seayouagain2_02_s_12,True,,1,no,,3,no,,5,idle,,7,idle,,15,idle,,17,idle,,31,31,1.0,,neon_s,,,,,,,
event_seayouagain2_02_s_13,40025,event_seayouagain2_02_s,Speech,neon,Locale_MainScenario:event_seayouagain2_02_s_13,True,,1,no,,3,no,,5,idle,,7,idle,,15,idle,,17,idle,,31,31,1.0,,neon_s,,,,,,,
event_seayouagain2_02_s_14,40025,event_seayouagain2_02_s,Speech,liter,Locale_MainScenario:event_seayouagain2_02_s_14,True,,1,idle,,3,no,,5,sorrow,,7,idle,,15,idle,,17,idle,,31,53,1.0,,liter_s,,,,,,,
event_seayouagain2_02_s_15,40025,event_seayouagain2_02_s,Speech,liter,Locale_MainScenario:event_seayouagain2_02_s_15,True,,1,idle,,3,no,,5,sorrow,,7,idle,,15,idle,,17,idle,,53,53,1.0,,liter_s,,,,,,,
event_seayouagain2_02_s_16,40025,event_seayouagain2_02_s,Speech,neon,Locale_MainScenario:event_seayouagain2_02_s_16,False,,1,idle,,3,surprise,,5,sorrow,,7,idle,,15,idle,,17,idle,,53,53,1.0,,neon_s,,,,,,,
event_seayouagain2_02_s_17,40025,event_seayouagain2_02_s,Speech,neon,Locale_MainScenario:event_seayouagain2_02_s_17,True,,1,idle,,3,surprise,,5,idle,,7,idle,,15,idle,,17,idle,,53,53,1.0,,neon_s,helm_s,13,idle,,,,
event_seayouagain2_02_s_18,40025,event_seayouagain2_02_s,Speech,helm,Locale_MainScenario:event_seayouagain2_02_s_18,True,,1,idle,,3,surprise,,5,idle,,7,idle,,15,idle,,17,idle,,130,130,1.0,,helm_s,,13,idle,,,,
event_seayouagain2_02_s_19,40025,event_seayouagain2_02_s,Narration,Narration,Locale_MainScenario:event_seayouagain2_02_s_19,False,,1,idle,,3,idle,,5,idle,,7,idle,,15,idle,,17,idle,,130,130,1.0,,,,13,idle,,,,
event_seayouagain2_02_s_20,40025,event_seayouagain2_02_s,Self,Self,Locale_MainScenario:event_seayouagain2_02_s_20,False,,1,idle,,3,idle,,5,idle,,7,idle,,15,idle,,17,idle,,130,130,1.0,,,,13,idle,,,,
event_seayouagain2_02_s_21,40025,event_seayouagain2_02_s,Speech,anis,Locale_MainScenario:event_seayouagain2_02_s_21,True,,1,idle,,3,idle,,5,idle,,7,idle,,15,idle,,17,idle,,130,113,1.0,,anis_s,,13,idle,,,,
event_seayouagain2_02_s_22,40025,event_seayouagain2_02_s,Speech,helm,Locale_MainScenario:event_seayouagain2_02_s_22,True,,1,idle,,3,idle,,5,idle,,7,idle,,15,idle,,17,idle,,113,113,1.0,,helm_s,,13,idle,,,,
