id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_filter_01,set_filter_02,fade,characters/1/hide_char_id
event_miraclesnow2_05_e_1,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_1,True,rupee_w,1,idle_02,angelina,3,worry,Restaurant,31,31,1.0,bgm_story_backtonormal,,,,,
event_miraclesnow2_05_e_2,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_2,True,,1,idle_02,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_3,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_3,True,,1,idle_02,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_4,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_4,False,,1,idle_02,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_5,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_5,True,,1,idle_02,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_6,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_6,True,,1,idle_02,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_7,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_7,False,,1,idle_02,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_8,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_8,True,,1,surprise,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_9,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_9,True,,1,surprise,,3,worry,,31,30,1.0,,,,,,
event_miraclesnow2_05_e_10,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_10,False,,1,surprise,,3,worry,,30,30,1.0,,,,,,
event_miraclesnow2_05_e_11,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_11,True,,1,surprise,,3,worry,,30,30,1.0,,,,,,
event_miraclesnow2_05_e_12,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_12,True,,1,sad,,3,worry,,L_10,L_10,1.0,,,,,,
event_miraclesnow2_05_e_13,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_13,True,,1,sad,,3,worry,,L_10,L_10,1.0,,,,,,
event_miraclesnow2_05_e_14,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_14,True,,1,sad,,3,worry,,30,30,1.0,,,,,,
event_miraclesnow2_05_e_15,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_15,True,,1,sad,,3,worry,,30,30,1.0,,,,,,
event_miraclesnow2_05_e_16,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_16,False,,1,sad,,3,worry,,30,30,1.0,none,,,,,
event_miraclesnow2_05_e_17,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_17,False,,1,sad,,3,worry,,30,300,1.0,,,,,,
event_miraclesnow2_05_e_18,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_18,True,,1,idle_02,,3,worry,,L_100,L_100,1.0,,,,,,
event_miraclesnow2_05_e_19,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_19,False,,1,idle_02,,3,worry,,300,300,1.0,bgm_story_fairytalesend_if,,,,,
event_miraclesnow2_05_e_20,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_20,False,,1,idle_02,,3,worry,,300,300,1.0,,,,,,
event_miraclesnow2_05_e_21,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_21,False,,1,idle_02,,3,worry,,300,300,1.0,,,,,,
event_miraclesnow2_05_e_22,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_22,False,,1,sad,,3,worry,,L_100,L_100,1.0,,,,,,
event_miraclesnow2_05_e_23,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_23,False,,1,sad,,3,worry,,300,300,1.0,,,,,,
event_miraclesnow2_05_e_24,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_24,False,,1,sad,,3,worry,,300,30,1.0,,,,,,
event_miraclesnow2_05_e_25,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_25,True,,1,sad,,3,worry,,L_10,L_10,1.0,,,,,,
event_miraclesnow2_05_e_26,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_26,False,,1,sad,,3,worry,,30,30,1.0,,,,,,
event_miraclesnow2_05_e_27,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_27,False,,1,sad,,3,worry,,30,30,1.0,,,,,,
event_miraclesnow2_05_e_28,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_28,False,,1,sad,,3,worry,,30,30,1.0,,,,,,
event_miraclesnow2_05_e_29,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_29,False,,1,sad,,3,worry,,30,30,1.0,,,,,,
event_miraclesnow2_05_e_30,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_30,False,,1,sad,,3,worry,,30,30,1.0,,,,,,
event_miraclesnow2_05_e_31,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_31,True,,1,think,,3,worry,,30,31,1.0,,,,,,
event_miraclesnow2_05_e_32,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_32,False,,1,think,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_33,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_33,False,,1,think,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_34,40004,event_miraclesnow2_05_e,Self,,,Locale_SubScenario:event_miraclesnow2_05_e_34,False,,1,think,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_35,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_35,False,,1,think,,3,worry,,31,31,1.0,none,,,,,
event_miraclesnow2_05_e_36,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_36,True,,1,sad,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_37,40004,event_miraclesnow2_05_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_05_e_37,True,,1,sad,,3,worry,,31,31,1.0,,,,,,
event_miraclesnow2_05_e_38,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_38,True,,1,sad,,3,worry,,31,30,1.0,,,,,,
event_miraclesnow2_05_e_39,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_39,True,,1,sad,,7,smile,Hospital,black,black,1.0,bgm_story_weare,rupee_w,Grey,Vignetting,black,
event_miraclesnow2_05_e_40,40004,event_miraclesnow2_05_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow2_05_e_40,True,n102,5,idle,,7,smile,,7,75,1.0,,,Grey,Vignetting,,
event_miraclesnow2_05_e_41,40004,event_miraclesnow2_05_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_05_e_41,True,,5,idle,,7,smile,,75,75,1.0,,,Grey,Vignetting,,
event_miraclesnow2_05_e_42,40004,event_miraclesnow2_05_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow2_05_e_42,True,,5,idle,,7,smile,,75,75,1.0,,,Grey,Vignetting,,
