id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
snowfall_global_11_default_1,80903,snowfall_global_11,,Narration,,,Locale_SubScenario:snowfall_global_00_1,False,none,,,,,,black,black,0,,,none,100,none,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_global_11_default_2,80903,snowfall_global_11,,Choice,,,Locale_SubScenario:snowfall_global_00_2,False,,,,,,,black,black,0,,,,100,,,None,None,snowfall_global_11_1,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_global_11_default_3,80903,snowfall_global_11,,Choice,,,Locale_SubScenario:snowfall_global_00_3,False,,,,,,,black,black,0,,,,100,,,None,None,,None,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_global_11_1,80903,snowfall_global_11,,Monologue,,,Locale_SubScenario:snowfall_global_11_1,False,HotSpringInnOut_s,,,,,,1,1,0,,,amb_so_inn_out_2,100,event_bgm_neverland_snowflakes_sunset,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_global_11_2,80903,snowfall_global_11,,Monologue,,,Locale_SubScenario:snowfall_global_11_2,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_global_11_3,80903,snowfall_global_11,,Speech,emma,emma,Locale_SubScenario:snowfall_global_11_3,True,,,,,,,1,6,0,,,,100,,,None,None,,None,False,emma,,7,worry,noir_c,,5,surprise,blanc_c,,3,think,ludmilla_w,,1,think,mica_w,,13,idle,anne,,15,idle,angelina,,17,idle,rupee_w,,19,idle,,,,,,,,,,,,False,,,,False
snowfall_global_11_4,80903,snowfall_global_11,,Speech,emma,emma,Locale_SubScenario:snowfall_global_11_4,True,,,,,,,6,6,0,,,,100,,,None,None,,None,False,,,7,worry,,,5,surprise,,,3,think,,,1,think,,,13,idle,,,15,idle,,,17,idle,,,19,idle,,,,,,,,,,,,False,,,,False
snowfall_global_11_5,80903,snowfall_global_11,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_global_11_5,True,,,,,,,6,4,0,,,,100,,,None,None,,None,False,,,7,worry,,,5,surprise,,,3,think,,,1,think,,,13,idle,,,15,idle,,,17,idle,,,19,idle,,,,,,,,,,,,False,,,,False
snowfall_global_11_6,80903,snowfall_global_11,,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_global_11_6,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,7,worry,,,5,surprise,,,3,think,,,1,think,,,13,idle,,,15,idle,,,17,idle,,,19,idle,,,,,,,,,,,,False,,,,False
snowfall_global_11_7,80903,snowfall_global_11,,Speech,noir_c,noir_c,Locale_SubScenario:snowfall_global_11_7,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,7,worry,,,5,surprise,,,3,think,,,1,think,,,13,idle,,,15,idle,,,17,idle,,,19,idle,,,,,,,,,,,,False,,,,False
