id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake
event_maidinvalentine_03_e_1,40007,event_maidinvalentine_03_e,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_03_e_1,True,soda,5,think,Storage,5,5,1.0,none,,,,,,,,,,,,,
event_maidinvalentine_03_e_2,40007,event_maidinvalentine_03_e,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_03_e_2,True,,5,idle,,5,5,1.0,,,,,,,,,,,,,,
event_maidinvalentine_03_e_3,40007,event_maidinvalentine_03_e,Narration,,Narration,Locale_SubScenario:event_maidinvalentine_03_e_3,False,,5,idle,,5,S_50,2.0,,,,,,,,,,,,,,
event_maidinvalentine_03_e_4,40007,event_maidinvalentine_03_e,Narration,,Narration,Locale_SubScenario:event_maidinvalentine_03_e_4,False,,5,idle,,S_50,S_50,1.0,,sfx_scn_machinefan,,,,,,,,,,,,
event_maidinvalentine_03_e_5,40007,event_maidinvalentine_03_e,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_03_e_5,True,,5,shy,,S_50,S_50,1.0,,,,,,,,,,,,,,
event_maidinvalentine_03_e_6,40007,event_maidinvalentine_03_e,Monologue,,Monologue,Locale_SubScenario:event_maidinvalentine_03_e_6,False,,5,shy,,black,black,1.0,,,soda,ade,1,idle,cocoa,13,idle,,,,,
event_maidinvalentine_03_e_7,40007,event_maidinvalentine_03_e,Self,,Self,Locale_SubScenario:event_maidinvalentine_03_e_7,False,,,,,12,12,1.0,,,,,1,idle,,13,idle,,,,,
event_maidinvalentine_03_e_8,40007,event_maidinvalentine_03_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_03_e_8,True,,,,,12,12,1.0,,,,,1,idle,,13,idle,,,,,
event_maidinvalentine_03_e_9,40007,event_maidinvalentine_03_e,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_03_e_9,True,,,,,12,12,1.0,,,,,1,idle,,13,idle,,,,,
event_maidinvalentine_03_e_10,40007,event_maidinvalentine_03_e,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_03_e_10,True,soda,5,sad,,12,5,0.3,,,,,1,idle,,13,idle,,,,,
