id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_wisdomspring_prologue_11,40068,event_wisdomspring_prologue,,Speech,,mana,Locale_SubScenario:event_wisdomspring_prologue_11,True,,,,,,,wisdomspring_01,wisdomspring_02,0,,,,100,,,Blur_High,Vignetting,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_12,40068,event_wisdomspring_prologue,,Monologue,,,Locale_SubScenario:event_wisdomspring_prologue_12,False,,,,,,,wisdomspring_02,wisdomspring_02,0,,,,100,,,Blur_High,Vignetting,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_13,40068,event_wisdomspring_prologue,,Speech,,mana,Locale_SubScenario:event_wisdomspring_prologue_13,True,,,,,,,wisdomspring_02,wisdomspring_02,0,,,,100,,,Blur_High,Vignetting,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_14,40068,event_wisdomspring_prologue,,Monologue,,,Locale_SubScenario:event_wisdomspring_prologue_14,False,,,,,,,wisdomspring_02,wisdomspring_02,0,,,,100,,,Blur_High,Vignetting,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_15,40068,event_wisdomspring_prologue,,Monologue,,,Locale_SubScenario:event_wisdomspring_prologue_15,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_16,40068,event_wisdomspring_prologue,,Speech,,mana,Locale_SubScenario:event_wisdomspring_prologue_16,True,,,,,,,wisdomspring_02,wisdomspring_02,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_17,40068,event_wisdomspring_prologue,,Self,,,Locale_SubScenario:event_wisdomspring_prologue_17,False,,,,,,,wisdomspring_02,wisdomspring_02,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_18,40068,event_wisdomspring_prologue,,Monologue,,,Locale_SubScenario:event_wisdomspring_prologue_18,False,,,,,,,wisdomspring_02,wisdomspring_01,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_19,40068,event_wisdomspring_prologue,,Self,,,Locale_SubScenario:event_wisdomspring_prologue_19,False,,,,,,,wisdomspring_01,wisdomspring_01,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_20,40068,event_wisdomspring_prologue,,Speech,,mana,Locale_SubScenario:event_wisdomspring_prologue_20,True,,,,,,,wisdomspring_01,wisdomspring_01,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_21,40068,event_wisdomspring_prologue,,Speech,,mana,Locale_SubScenario:event_wisdomspring_prologue_21,True,,,,,,,wisdomspring_01,wisdomspring_01,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_22,40068,event_wisdomspring_prologue,,Self,,,Locale_SubScenario:event_wisdomspring_prologue_22,False,,,,,,,wisdomspring_01,wisdomspring_01,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_23,40068,event_wisdomspring_prologue,,Monologue,,,Locale_SubScenario:event_wisdomspring_prologue_23,False,,,,,,,wisdomspring_01,wisdomspring_01,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_24,40068,event_wisdomspring_prologue,,Monologue,,,Locale_SubScenario:event_wisdomspring_prologue_24,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_wisdomspring_prologue_25,40068,event_wisdomspring_prologue,,Monologue,,,Locale_SubScenario:event_wisdomspring_prologue_25,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
