id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
snowfall_speech_npc_day6_01_1,80903,snowfall_speech_npc_day6_01,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_npc_day6_01_1,True,HotSpringInnIn_d,2,2,1.0,amb_so_inn_in_1,event_bgm_neverland_hugme_day,noir_c,3,idle,blanc_c,1,idle
snowfall_speech_npc_day6_01_2,80903,snowfall_speech_npc_day6_01,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_npc_day6_01_2,True,,2,2,1.0,,,,3,idle,,1,delight
snowfall_speech_npc_day6_01_3,80903,snowfall_speech_npc_day6_01,Speech,noir_c,noir_c,Locale_SubScenario:snowfall_speech_npc_day6_01_3,True,,2,2,1.0,,,,3,idle,,1,idle
snowfall_speech_npc_day6_01_4,80903,snowfall_speech_npc_day6_01,Speech,noir_c,noir_c,Locale_SubScenario:snowfall_speech_npc_day6_01_4,True,,2,2,1.0,,,,3,idle,,1,idle
snowfall_speech_npc_day6_01_5,80903,snowfall_speech_npc_day6_01,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_npc_day6_01_5,True,,2,2,1.0,,,,3,idle,,1,idle
snowfall_speech_npc_day6_01_6,80903,snowfall_speech_npc_day6_01,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_npc_day6_01_6,True,,2,2,1.0,,,,3,idle,,1,idle
snowfall_speech_npc_day6_01_7,80903,snowfall_speech_npc_day6_01,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_speech_npc_day6_01_7,True,,2,2,1.0,,,,3,delight,,1,delight
snowfall_speech_npc_day6_01_8,80903,snowfall_speech_npc_day6_01,Speech,noir_c,noir_c,Locale_SubScenario:snowfall_speech_npc_day6_01_8,True,,2,2,1.0,,,,3,delight,,1,delight
snowfall_speech_npc_day6_01_9,80903,snowfall_speech_npc_day6_01,Speech,noir_c,noir_c,Locale_SubScenario:snowfall_speech_npc_day6_01_9,True,,2,2,1.0,,,,3,idle,,1,idle
snowfall_speech_npc_day6_01_10,80903,snowfall_speech_npc_day6_01,Narration,,,Locale_SubScenario:snowfall_speech_npc_day6_01_10,False,,black,black,1.0,,,,3,idle,,1,idle
