id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
event_trueflavor_06_s_1,40074,event_trueflavor_06_s,Narration,crust,Locale_SubScenario:event_trueflavor_06_s_1,False,crust,12,idle,Kitchen,black,black,1.0,sfx_scn_knock,bgm_story_overjoy,,,,,
event_trueflavor_06_s_2,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_2,True,,12,delight,,XS_120,XS_120,1.0,,,crust,,,,
event_trueflavor_06_s_3,40074,event_trueflavor_06_s,Narration,crust,Locale_SubScenario:event_trueflavor_06_s_3,False,,12,delight,,XS_120,1,1.5,sfx_scn_autodooropen,,,bready,2,idle,
event_trueflavor_06_s_4,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_4,True,,12,idle,,1,1,1.0,,,crust,,2,idle,
event_trueflavor_06_s_5,40074,event_trueflavor_06_s,Self,crust,Locale_SubScenario:event_trueflavor_06_s_5,False,,12,idle,,1,1,1.0,,,,,2,idle,
event_trueflavor_06_s_6,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_6,True,,12,idle,,1,1,1.0,,,crust,,2,idle,
event_trueflavor_06_s_7,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_7,False,,12,idle,,1,1,1.0,,,bready,,2,surprise,
event_trueflavor_06_s_8,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_8,True,,12,idle,,1,1,1.0,,,bready,,2,surprise,
event_trueflavor_06_s_9,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_9,True,,12,idle,,1,1,1.0,,,crust,,2,surprise,
event_trueflavor_06_s_10,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_10,True,,12,idle,,1,1,1.0,,,crust,,2,surprise,
event_trueflavor_06_s_11,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_11,True,,12,idle,,1,1,1.0,,,crust,,2,surprise,
event_trueflavor_06_s_12,40074,event_trueflavor_06_s,Monologue,crust,Locale_SubScenario:event_trueflavor_06_s_12,False,,12,idle,,black,black,1.0,,,,,2,surprise,
event_trueflavor_06_s_13,40074,event_trueflavor_06_s,Narration,crust,Locale_SubScenario:event_trueflavor_06_s_13,False,,12,idle,,1,1,1.3,sfx_scn_chair,,,,2,surprise,
event_trueflavor_06_s_14,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_14,True,,12,idle,,1,1,1.0,,,bready,,2,idle,
event_trueflavor_06_s_15,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_15,True,,12,delight,,1,1,1.0,,,crust,,2,idle,
event_trueflavor_06_s_16,40074,event_trueflavor_06_s,Speech,crust,Locale_SubScenario:event_trueflavor_06_s_16,True,,12,delight,,1,1,1.0,,,crust,,2,idle,
event_trueflavor_06_s_17,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_17,False,,12,delight,,1,1,1.0,,,bready,,2,idle,
event_trueflavor_06_s_18,40074,event_trueflavor_06_s,Speech,bready,Locale_SubScenario:event_trueflavor_06_s_18,True,,12,delight,,1,1,1.0,,,bready,,2,delight,
