id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,highlight,speaker,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_camera_shake
event_boomtheghost1_02_s_1,40084,event_boomtheghost1_02_s,Narration,Locale_MainScenario:event_boomtheghost1_02_s_1,False,Voyage_d,black,black,1.0,sfx_scn_boatrun,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_02_s_2,40084,event_boomtheghost1_02_s,Monologue,Locale_MainScenario:event_boomtheghost1_02_s_2,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_02_s_3,40084,event_boomtheghost1_02_s,Monologue,Locale_MainScenario:event_boomtheghost1_02_s_3,False,,100,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_02_s_4,40084,event_boomtheghost1_02_s,Monologue,Locale_MainScenario:event_boomtheghost1_02_s_4,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_02_s_5,40084,event_boomtheghost1_02_s,Monologue,Locale_MainScenario:event_boomtheghost1_02_s_5,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_02_s_6,40084,event_boomtheghost1_02_s,Monologue,Locale_MainScenario:event_boomtheghost1_02_s_6,False,,black,black,1.0,,bgm_story_tepidappleade,dorothy,1,think,tove,13,shy,yan,15,no,centi,17,idle,pepper,19,idle,,,,,,,,,,,,,
event_boomtheghost1_02_s_7,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_7,True,,1,10,1.0,,,,1,think,,13,shy,,15,no,,17,idle,,19,idle,yan,yan,,,,,,,,,,,
event_boomtheghost1_02_s_8,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_8,True,,10,S_130,1.0,,,,1,think,,13,shy,,15,no,,17,idle,,19,idle,tove,tove,,,,,,,,,,,
event_boomtheghost1_02_s_9,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_9,True,,S_130,1315,1.0,,,,1,think,,13,shy,,15,no,,17,idle,,19,idle,yan,yan,,,,,,,,,,,
event_boomtheghost1_02_s_10,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_10,True,,1315,1315,1.0,,,,1,think,,13,surprise,,15,no,,17,idle,,19,idle,tove,tove,,,,,,,,,,,
event_boomtheghost1_02_s_11,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_11,True,,1315,1315,1.0,,,,1,think,,13,surprise,,15,etc,,17,idle,,19,idle,yan,yan,,,,,,,,,,,
event_boomtheghost1_02_s_12,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_12,True,,1315,1517,1.5,,,,1,think,,13,surprise,,15,etc,,17,idle,,19,idle,centi,centi,,,,,,,,,,,
event_boomtheghost1_02_s_13,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_13,True,,1517,1517,1.0,,,,1,think,,13,idle,,15,no,,17,idle,,19,idle,yan,yan,,,,,,,,,,,
event_boomtheghost1_02_s_14,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_14,True,,1517,1719,1.5,,,,1,idle,,13,idle,,15,no,,17,idle,,19,surprise,pepper,pepper,,,,,,,,,,,
event_boomtheghost1_02_s_15,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_15,True,,15,S_150,1.0,,,,1,idle,,13,idle,,15,etc,,17,idle,,19,surprise,yan,yan,,,,,,,,,,,
event_boomtheghost1_02_s_16,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_16,True,,XS_190,XS_190,1.0,,,,1,think,,13,idle,,15,etc,,17,idle,,19,surprise,pepper,pepper,,,,,,,,,,,
event_boomtheghost1_02_s_17,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_17,True,,XS_190,XS_190,1.0,,,,1,think,,13,idle,,15,etc,,17,idle,,19,surprise,pepper,pepper,,,,,,,,,,,
event_boomtheghost1_02_s_18,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_18,True,,S_150,S_150,1.0,,,,1,think,,13,idle,,15,no,,17,idle,,19,surprise,yan,yan,,,,,,,,,,,
event_boomtheghost1_02_s_19,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_19,True,,S_150,S_150,1.0,,,,1,think,,13,idle,,15,no,,17,idle,,19,surprise,yan,yan,,,,,,,,,,,
event_boomtheghost1_02_s_20,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_20,True,,XS_190,XS_190,1.0,,,,1,think,,13,idle,,15,no,,17,idle,,19,angry,pepper,pepper,,,,,,,,,,,
event_boomtheghost1_02_s_21,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_21,True,,XS_190,L_170,1.0,,,,1,think,,13,idle,,15,no,,17,angry,,19,angry,centi,centi,,,,,,,,,,,
event_boomtheghost1_02_s_22,40084,event_boomtheghost1_02_s,Speech,Locale_MainScenario:event_boomtheghost1_02_s_22,True,,L_170,1315,1.5,,,,1,think,,13,idle,,15,no,,17,angry,,19,angry,tove,tove,,,,,,,,,,,
