id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_seayouagain_02_1,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_1,True,liter_s,5,delight,mast_s,7,idle,Beach_d,5,XS_50,1.0,none,,,,,,,,
d_ex_seayouagain_02_2,80600,d_ex_seayouagain_02,Narration,,Narration,Locale_SuddenStory:d_ex_seayouagain_02_2,False,,5,delight,,7,idle,,XS_50,13,1.0,,sfx_scn_flyingdisc,,,,,,,
d_ex_seayouagain_02_3,80600,d_ex_seayouagain_02,Narration,,Narration,Locale_SuddenStory:d_ex_seayouagain_02_3,False,,5,delight,,7,idle,,13,13,1.0,bgm_story_profusion,,,,,,,,
d_ex_seayouagain_02_4,80600,d_ex_seayouagain_02,Speech,volt,volt,Locale_SuddenStory:d_ex_seayouagain_02_4,True,,5,delight,,7,idle,,13,13,1.0,,sfx_scn_bowwow,Low_2,,,,,,
d_ex_seayouagain_02_5,80600,d_ex_seayouagain_02,Narration,,Narration,Locale_SuddenStory:d_ex_seayouagain_02_5,False,,5,delight,,7,idle,,13,13,1.0,,sfx_scn_dogrun,,,,,,,
d_ex_seayouagain_02_6,80600,d_ex_seayouagain_02,Narration,,Narration,Locale_SuddenStory:d_ex_seayouagain_02_6,False,,5,delight,,7,idle,,13,13,1.0,,,,,,,,,
d_ex_seayouagain_02_7,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_7,True,,5,idle,,7,idle,,7,S_70,1.0,,,,,,,,,
d_ex_seayouagain_02_8,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_8,True,,5,idle,,7,idle,,S_70,S_70,1.0,,,,,,,,,
d_ex_seayouagain_02_9,80600,d_ex_seayouagain_02,Narration,,Narration,Locale_SuddenStory:d_ex_seayouagain_02_9,False,,5,idle,,7,idle,,S_70,13,1.0,,sfx_scn_flyingdisc,,,,,,,
d_ex_seayouagain_02_10,80600,d_ex_seayouagain_02,Narration,,Narration,Locale_SuddenStory:d_ex_seayouagain_02_10,False,,5,idle,,7,idle,,13,13,1.0,,,,,,,,,
d_ex_seayouagain_02_11,80600,d_ex_seayouagain_02,Speech,morgan,morgan,Locale_SuddenStory:d_ex_seayouagain_02_11,True,,5,idle,,7,idle,,13,13,1.0,,,Low_2,,,,,,
d_ex_seayouagain_02_12,80600,d_ex_seayouagain_02,Narration,,Narration,Locale_SuddenStory:d_ex_seayouagain_02_12,False,,5,idle,,7,idle,,13,13,1.0,,,,,,,,,
d_ex_seayouagain_02_13,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_13,True,,5,delight,,7,delight,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_14,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_14,True,,5,delight,,7,delight,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_15,80600,d_ex_seayouagain_02,Self,,Self,Locale_SuddenStory:d_ex_seayouagain_02_15,False,,5,idle,,7,idle,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_16,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_16,True,,5,idle,,7,delight,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_17,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_17,True,,5,idle,,7,delight,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_18,80600,d_ex_seayouagain_02,Self,,Self,Locale_SuddenStory:d_ex_seayouagain_02_18,False,,5,idle,,7,delight,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_19,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_19,True,,5,idle,,7,idle,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_20,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_20,True,,5,idle,,7,idle,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_21,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_21,True,,5,idle,,7,idle,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_22,80600,d_ex_seayouagain_02,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_02_22,True,,5,idle,,7,delight2,,6,6,1.0,,,,,,,,,
d_ex_seayouagain_02_23,80600,d_ex_seayouagain_02,Speech,liter_s,liter_s,Locale_SuddenStory:d_ex_seayouagain_02_23,True,,5,idle,,7,delight2,,6,6,1.0,,,,,,,,,
