id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
re_event_ce02_2_05_s_1,40083,re_event_ce02_2_05_s,,Monologue,,,Locale_SubScenario:event_ce02_2_05_s_1,False,TechIndoor_n,,,,,,9,3,0,,,,100,ambient_scn_wind,,None,None,,None,False,c1002_02,,9,idle,b0006_02,,7,idle,6000d_02,,5,idle,anis,,3,void,neon,,1,idle,rapi,,13,idle,ce_02_01,,15,idle,ce_02_npc_01,,17,think,,,,,,,,,,,,False,,,,False
re_event_ce02_2_05_s_2,40083,re_event_ce02_2_05_s,,Speech,anis,anis,Locale_SubScenario:event_ce02_2_05_s_2,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,void,,,1,idle,,,13,idle,,,15,idle,,,17,think,,,,,,,,,,,,False,,,,False
re_event_ce02_2_05_s_3,40083,re_event_ce02_2_05_s,,Speech,rapi,rapi,Locale_SubScenario:event_ce02_2_05_s_3,True,,,,,,,13,13,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,void,,,1,idle,,,13,idle,,,15,idle,,,17,think,,,,,,,,,,,,False,,,,False
re_event_ce02_2_05_s_4,40083,re_event_ce02_2_05_s,,Self,rapi,,Locale_SubScenario:event_ce02_2_05_s_4,False,,,,,,,13,13,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,void,,,1,idle,,,13,idle,,,15,idle,,,17,think,,,,,,,,,,,,False,,,,False
re_event_ce02_2_05_s_5,40083,re_event_ce02_2_05_s,,Speech,anis,anis,Locale_SubScenario:event_ce02_2_05_s_5,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,void,,,1,idle,,,13,idle,,,15,idle,,,17,think,,,,,,,,,,,,False,,,,False
re_event_ce02_2_05_s_6,40083,re_event_ce02_2_05_s,,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_05_s_6,True,,,,,,,17,17,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,void,,,1,idle,,,13,idle,,,15,idle,,,17,think,,,,,,,,,,,,False,,,,False
re_event_ce02_2_05_s_7,40083,re_event_ce02_2_05_s,,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_05_s_7,True,,,,,,,17,17,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,void,,,1,idle,,,13,idle,,,15,idle,,,17,think,,,,,,,,,,,,False,,,,False
re_event_ce02_2_05_s_8,40083,re_event_ce02_2_05_s,,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_05_s_8,True,,,,,,,17,17,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,void,,,1,idle,,,13,idle,,,15,idle,,,17,think,,,,,,,,,,,,False,,,,False
re_event_ce02_2_05_s_9,40083,re_event_ce02_2_05_s,,Speech,anis,anis,Locale_SubScenario:event_ce02_2_05_s_9,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,void,,,1,idle,,,13,idle,,,15,idle,,,17,think,,,,,,,,,,,,False,,,,False
re_event_ce02_2_05_s_10,40083,re_event_ce02_2_05_s,,Speech,neon,neon,Locale_SubScenario:event_ce02_2_05_s_10,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,void,,,1,worry,,,13,idle,,,15,idle,,,17,think,,,,,,,,,,,,False,,,,False
