id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,play_sound
event_perfectmaid_02_e_1,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_1,True,privaty,1,surprise,drake,13,idle,soda,3,idle,cocoa,5,idle,Corridor,1,1,1.0,bgm_story_whosdumber,,,
event_perfectmaid_02_e_2,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_2,True,,1,surprise,,13,idle,,3,idle,,5,idle,,1,S_10,1.0,,,,
event_perfectmaid_02_e_3,40039,event_perfectmaid_02_e,Self,,,Locale_SubScenario:event_perfectmaid_02_e_3,False,,1,surprise,,13,idle,,3,idle,,5,idle,,S_10,S_10,1.0,,,,
event_perfectmaid_02_e_4,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_4,True,,1,surprise,,13,idle,,3,idle,,5,idle,,S_10,S_10,1.0,,,,
event_perfectmaid_02_e_5,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_5,True,,1,shy,,13,idle,,3,idle,,5,idle,,S_10,S_10,1.0,,Low_2,,
event_perfectmaid_02_e_6,40039,event_perfectmaid_02_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_02_e_6,True,,1,shy,,13,angry,,3,idle,,5,idle,,S_10,13,1.0,,,,
event_perfectmaid_02_e_7,40039,event_perfectmaid_02_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_02_e_7,True,,1,shy,,13,angry,,3,idle,,5,idle,,13,130,1.0,,,,
event_perfectmaid_02_e_8,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_8,True,,1,shy,,13,angry,,3,think,,5,idle,,S_30,S_30,1.0,,,,
event_perfectmaid_02_e_9,40039,event_perfectmaid_02_e,Speech,drake,drake,Locale_SubScenario:event_perfectmaid_02_e_9,True,,1,shy,,13,no,,3,think,,5,idle,,130,13,1.0,,,,
event_perfectmaid_02_e_10,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_10,True,,1,angry,,13,no,,3,idle,,5,idle,,13,2,1.0,,,,
event_perfectmaid_02_e_11,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_11,True,,1,angry,,13,no,,3,sad,,5,idle,,2,2,1.0,,,,
event_perfectmaid_02_e_12,40039,event_perfectmaid_02_e,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_02_e_12,True,,1,angry,,13,no,,3,sad,,5,idle,,2,2,1.0,,,,
event_perfectmaid_02_e_13,40039,event_perfectmaid_02_e,Speech,privaty,privaty,Locale_SubScenario:event_perfectmaid_02_e_13,True,,1,shy,,13,no,,3,idle,,5,idle,,2,2,1.0,,,,
