id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_lifeagain_06_s_1,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_1,True,Gym,,,,,,3,XS_30,0,,,,100,none,,None,None,,None,False,nadia,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_2,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_2,True,,,,,,,XS_30,XS_30,0,,,,100,bgm_frostpillar,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_3,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_3,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_4,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_4,True,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_5,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_5,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_6,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_6,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_7,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_7,True,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_8,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_8,True,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_9,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_9,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_10,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_10,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_11,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_11,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_12,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_12,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_13,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_13,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_14,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_14,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_15,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_15,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_16,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_16,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_17,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_17,True,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_18,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_18,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_19,40060,event_lifeagain_06_s,,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_19,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_lifeagain_06_s_20,40060,event_lifeagain_06_s,,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_20,True,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
