id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,jump_target,characters/0/hide_char_id
event_arcanearchive_05_e_1,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_1,False,arcana,1,think,Library,L_10,L_10,1.0,bgm_story_sceneofmemory,,,,
event_arcanearchive_05_e_2,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_2,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_3,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_3,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_4,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_4,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_5,40077,event_arcanearchive_05_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_e_5,False,,1,think,,L_10,L_100,1.3,,,,,
event_arcanearchive_05_e_6,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_6,True,,1,idle,,L_100,L_100,1.0,,arcana,,,
event_arcanearchive_05_e_7,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_7,True,,1,idle,,L_100,L_100,1.0,,arcana,,,
event_arcanearchive_05_e_8,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_8,True,,1,idle,,L_100,L_100,1.0,,arcana,,,
event_arcanearchive_05_e_9,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_9,True,,1,idle,,L_100,L_100,1.0,,arcana,,,
event_arcanearchive_05_e_10,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_10,False,,1,idle,,L_100,L_100,1.0,,,,,
event_arcanearchive_05_e_11,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_11,True,,1,surprise,,L_100,L_10,1.3,,arcana,,,
event_arcanearchive_05_e_12,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_12,False,,1,surprise,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_13,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_13,False,,1,surprise,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_14,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_14,True,,1,surprise,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_15,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_15,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_16,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_16,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_17,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_17,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_18,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_18,False,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_19,40077,event_arcanearchive_05_e,Narration,arcana,Locale_SubScenario:event_arcanearchive_05_e_19,False,,1,think,,black,black,1.0,,,sfx_scn_paperfly,,
event_arcanearchive_05_e_20,40077,event_arcanearchive_05_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_e_20,False,,1,think,,black,black,1.0,,,,,
event_arcanearchive_05_e_21,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_21,False,,1,think,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_22,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_22,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_23,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_23,False,,1,think,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_24,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_24,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_25,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_25,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_26,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_26,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_27,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_27,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_28,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_28,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_29,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_29,False,,1,think,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_30,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_30,True,,1,think,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_31,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_31,False,,1,think,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_32,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_32,True,,1,angry,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_33,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_33,True,,1,angry,,L_10,L_100,1.3,,arcana,,,
event_arcanearchive_05_e_34,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_34,False,,1,angry,,L_100,L_100,1.0,,,,,
event_arcanearchive_05_e_35,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_35,True,,1,idle,,L_100,L_10,1.3,,arcana,,,
event_arcanearchive_05_e_36,40077,event_arcanearchive_05_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_e_36,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_37,40077,event_arcanearchive_05_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_e_37,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_38,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_38,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_39,40077,event_arcanearchive_05_e,Self,arcana,Locale_SubScenario:event_arcanearchive_05_e_39,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_05_e_40,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_40,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_05_e_41,40077,event_arcanearchive_05_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_e_41,False,,1,idle,,black,black,1.0,,,,,
event_arcanearchive_05_e_42,40077,event_arcanearchive_05_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_e_42,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
