id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_beautyfullshot2_04_e_1,40052,event_beautyfullshot2_04_e,Speech,maiden_s,maiden_s,Locale_MainScenario:event_beautyfullshot2_04_e_1,True,maiden_s,1,no,guilty_s,3,idle,CoralIslandInside_d,S_10,S_10,1.0,bgm_story_summermood,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_2,40052,event_beautyfullshot2_04_e,Narration,maiden_s,,Locale_MainScenario:event_beautyfullshot2_04_e_2,False,,1,no,,3,idle,,S_10,31,1.0,,sfx_scn_balltoss,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_3,40052,event_beautyfullshot2_04_e,Speech,guilty_s,guilty_s,Locale_MainScenario:event_beautyfullshot2_04_e_3,True,,1,no,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_4,40052,event_beautyfullshot2_04_e,Narration,guilty_s,,Locale_MainScenario:event_beautyfullshot2_04_e_4,False,,1,no,,3,idle,,31,31,1.0,,sfx_scn_ballexplosion,Low_2,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_5,40052,event_beautyfullshot2_04_e,Speech,maiden_s,maiden_s,Locale_MainScenario:event_beautyfullshot2_04_e_5,False,,1,no,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_6,40052,event_beautyfullshot2_04_e,Narration,maiden_s,,Locale_MainScenario:event_beautyfullshot2_04_e_6,False,,1,no,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_7,40052,event_beautyfullshot2_04_e,Speech,guilty_s,guilty_s,Locale_MainScenario:event_beautyfullshot2_04_e_7,True,,1,no,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_8,40052,event_beautyfullshot2_04_e,Speech,maiden_s,maiden_s,Locale_MainScenario:event_beautyfullshot2_04_e_8,True,,1,no,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_9,40052,event_beautyfullshot2_04_e,Speech,maiden_s,maiden_s,Locale_MainScenario:event_beautyfullshot2_04_e_9,True,,1,no,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_10,40052,event_beautyfullshot2_04_e,Speech,guilty_s,guilty_s,Locale_MainScenario:event_beautyfullshot2_04_e_10,True,,1,no,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_11,40052,event_beautyfullshot2_04_e,Speech,maiden_s,maiden_s,Locale_MainScenario:event_beautyfullshot2_04_e_11,True,,1,no,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_12,40052,event_beautyfullshot2_04_e,Speech,maiden_s,maiden_s,Locale_MainScenario:event_beautyfullshot2_04_e_12,True,,1,no,,3,idle,,31,S_10,0.7,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_13,40052,event_beautyfullshot2_04_e,Narration,maiden_s,,Locale_MainScenario:event_beautyfullshot2_04_e_13,False,,1,no,,3,idle,,S_10,S_10,1.0,,sfx_scn_balltoss,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_14,40052,event_beautyfullshot2_04_e,Speech,guilty_s,guilty_s,Locale_MainScenario:event_beautyfullshot2_04_e_14,True,,1,no,,3,idle,,S_10,31,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_15,40052,event_beautyfullshot2_04_e,Narration,guilty_s,,Locale_MainScenario:event_beautyfullshot2_04_e_15,False,,1,no,,3,idle,,31,31,1.0,,sfx_scn_ballhitbig,Low_2,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_16,40052,event_beautyfullshot2_04_e,Speech,maiden_s,maiden_s,Locale_MainScenario:event_beautyfullshot2_04_e_16,False,,1,no,,3,idle,,S_10,S_100,0.5,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_17,40052,event_beautyfullshot2_04_e,Narration,maiden_s,,Locale_MainScenario:event_beautyfullshot2_04_e_17,False,,1,no,,3,idle,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_e_18,40052,event_beautyfullshot2_04_e,Speech,maiden_s,maiden_s,Locale_MainScenario:event_beautyfullshot2_04_e_18,True,,1,no,,3,idle,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,
