id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker
event_ce004_2_01_e_1,40056,event_ce004_2_01_e,Narration,marciana,Locale_SubScenario:event_ce004_2_01_e_1,False,marciana,2,idle,ce004_04,12,idle,Office,1,1,1.0,bgm_inark,
event_ce004_2_01_e_2,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_2,True,,2,idle,,12,idle,,1,1,1.0,,marciana
event_ce004_2_01_e_3,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_3,True,,2,idle,,12,idle,,1,1,1.0,,marciana
event_ce004_2_01_e_4,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_4,True,,2,idle,,12,idle,,1,1,1.0,,marciana
event_ce004_2_01_e_5,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_5,True,,2,idle,,12,idle,,1,1,1.0,,marciana
event_ce004_2_01_e_6,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_6,True,,2,idle,,12,idle,,1,1,1.0,,marciana
event_ce004_2_01_e_7,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_7,True,,2,idle,,12,idle,,1,1,1.0,,marciana
event_ce004_2_01_e_8,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_8,True,,2,idle,,12,idle,,1,1,1.0,,marciana
event_ce004_2_01_e_9,40056,event_ce004_2_01_e,Self,marciana,Locale_SubScenario:event_ce004_2_01_e_9,False,,2,idle,,12,idle,,1,1,1.0,,
event_ce004_2_01_e_10,40056,event_ce004_2_01_e,Speech,ce004_04,Locale_SubScenario:event_ce004_2_01_e_10,True,,2,idle,,12,idle,,1,120,1.0,,ce004_04
event_ce004_2_01_e_11,40056,event_ce004_2_01_e,Speech,ce004_04,Locale_SubScenario:event_ce004_2_01_e_11,True,,2,idle,,12,idle,,120,120,1.0,,ce004_04
event_ce004_2_01_e_12,40056,event_ce004_2_01_e,Self,ce004_04,Locale_SubScenario:event_ce004_2_01_e_12,False,,2,idle,,12,idle,,120,120,1.0,,
event_ce004_2_01_e_13,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_13,True,,2,delight,,12,idle,,120,20,1.0,,marciana
event_ce004_2_01_e_14,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_14,True,,2,delight,,12,idle,,20,20,1.0,,marciana
event_ce004_2_01_e_15,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_15,True,,2,delight,,12,idle,,20,20,1.0,,marciana
event_ce004_2_01_e_16,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_16,True,,2,delight,,12,idle,,20,20,1.0,,marciana
event_ce004_2_01_e_17,40056,event_ce004_2_01_e,Speech,marciana,Locale_SubScenario:event_ce004_2_01_e_17,True,,2,think,,12,idle,,20,1,1.0,,marciana
event_ce004_2_01_e_18,40056,event_ce004_2_01_e,Speech,ce004_04,Locale_SubScenario:event_ce004_2_01_e_18,True,,2,think,,12,think,,1,1,1.0,,ce004_04
event_ce004_2_01_e_19,40056,event_ce004_2_01_e,Self,ce004_04,Locale_SubScenario:event_ce004_2_01_e_19,False,,2,think,,12,think,,1,1,1.0,,
