id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id
event_miraclesnow1_02_e_1,40003,event_miraclesnow1_02_e,Narration,Locale_SubScenario:event_miraclesnow1_02_e_1,False,rupee,1,sad,n102,13,delight,ShoppingMall,black,black,1.0,none,,,,,,,,,
event_miraclesnow1_02_e_2,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_2,True,,1,sad,,13,delight,,1,1,1.0,event_bgm_2022winter_complete,rupee,rupee,,,,,,,
event_miraclesnow1_02_e_3,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_3,True,,1,sad,,13,delight,,1,1,1.0,,rupee,rupee,,,,,,,
event_miraclesnow1_02_e_4,40003,event_miraclesnow1_02_e,Self,Locale_SubScenario:event_miraclesnow1_02_e_4,False,,1,sad,,13,delight,,1,1,1.0,,,,,,,,,,
event_miraclesnow1_02_e_5,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_5,True,,1,sad,,13,delight,,1,113,1.0,,n102,n102,,,,,,,
event_miraclesnow1_02_e_6,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_6,True,,1,idle,,13,delight,,113,113,1.0,,rupee,rupee,,,,,,,
event_miraclesnow1_02_e_7,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_7,True,,1,idle,,13,delight,,113,113,1.0,,n102,n102,,,,,,,
event_miraclesnow1_02_e_8,40003,event_miraclesnow1_02_e,Narration,Locale_SubScenario:event_miraclesnow1_02_e_8,False,,1,idle,,13,delight,,black,black,1.0,none,,,exia_c,3,idle,,,,
event_miraclesnow1_02_e_9,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_9,False,,1,idle,,13,delight,,S_30,S_30,1.0,bgm_story_heynewbie,adultman,mc,,3,"expression_0,idle",,,,
event_miraclesnow1_02_e_10,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_10,False,,1,idle,,13,delight,,S_30,S_300,1.0,,adultman,mc,,3,idle,,,,
event_miraclesnow1_02_e_11,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_11,False,,1,idle,,13,delight,,S_300,S_300,1.0,,adultman,mc,,3,idle,,,,
event_miraclesnow1_02_e_12,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_12,True,,1,idle,,13,delight,,S_300,S_300,1.0,,exia_c,exia,,3,good,,,,
event_miraclesnow1_02_e_13,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_13,False,,1,idle,,13,delight,,S_300,S_300,1.0,,adultman,mc,,3,good,,,,
event_miraclesnow1_02_e_14,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_14,True,,1,idle,,13,delight,,S_300,S_30,1.0,,exia_c,exia_c,,3,idle,,,,
event_miraclesnow1_02_e_15,40003,event_miraclesnow1_02_e,Self,Locale_SubScenario:event_miraclesnow1_02_e_15,False,,1,idle,,13,delight,,S_30,3,1.0,,exia_c,,,3,idle,,,,
event_miraclesnow1_02_e_16,40003,event_miraclesnow1_02_e,Self,Locale_SubScenario:event_miraclesnow1_02_e_16,False,,1,idle,,13,delight,,3,3,1.0,,exia_c,,,3,idle,,,,
event_miraclesnow1_02_e_17,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_17,True,,1,idle,,13,delight,,3,S_30,0.7,,exia_c,exia,,3,delight,,,,
event_miraclesnow1_02_e_18,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_18,True,,1,idle,,13,delight,,S_30,S_30,1.0,,exia_c,exia,,3,delight,,,,
event_miraclesnow1_02_e_19,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_19,True,,1,idle,,13,delight,,S_30,S_30,1.0,,exia_c,exia,,3,idle,,,,
event_miraclesnow1_02_e_20,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_20,True,,1,idle,,13,delight,,S_30,S_30,1.0,,exia_c,exia,,3,idle,,,,
event_miraclesnow1_02_e_21,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_21,True,,1,idle,,13,delight,,S_30,S_300,0.5,,exia_c,exia,,3,good,,,,
event_miraclesnow1_02_e_22,40003,event_miraclesnow1_02_e,Self,Locale_SubScenario:event_miraclesnow1_02_e_22,False,,1,idle,,13,delight,,S_300,S_300,1.0,,exia_c,,,3,good,,,,
event_miraclesnow1_02_e_23,40003,event_miraclesnow1_02_e,Speech,Locale_SubScenario:event_miraclesnow1_02_e_23,True,,1,idle,,13,delight,,S_300,S_30,1.0,,exia_c,exia,,3,idle,,,,
