id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
event_juveniledays_06_s_1,40053,event_juveniledays_06_s,Narration,marciana,Locale_SubScenario:event_juveniledays_06_s_1,False,marciana,1,idle,ein,3,idle,zwei,13,idle,rei,15,idle,Classroom_e,10,10,1.0,sfx_scn_schoolbell,none,,,,,,,,,,
event_juveniledays_06_s_2,40053,event_juveniledays_06_s,Speech,marciana,Locale_SubScenario:event_juveniledays_06_s_2,True,,1,idle,,3,idle,,13,idle,,15,idle,,10,10,1.0,,bgm_story_orangepop,marciana,,,,,,,,,
event_juveniledays_06_s_3,40053,event_juveniledays_06_s,Speech,maricana,Locale_SubScenario:event_juveniledays_06_s_3,False,,1,idle,,3,idle,,13,idle,,15,idle,,10,10,1.0,,,students,,,,,,,,,
event_juveniledays_06_s_4,40053,event_juveniledays_06_s,Speech,ein,Locale_SubScenario:event_juveniledays_06_s_4,True,,1,idle,,3,idle,,13,idle,,15,idle,,10,30,1.0,,,ein,,,,,,,,,
event_juveniledays_06_s_5,40053,event_juveniledays_06_s,Speech,ein,Locale_SubScenario:event_juveniledays_06_s_5,True,,1,idle,,3,idle,,13,idle,,15,idle,,30,30,1.0,,,ein,,,,,,,,,
event_juveniledays_06_s_6,40053,event_juveniledays_06_s,Speech,marciana,Locale_SubScenario:event_juveniledays_06_s_6,True,,1,idle,,3,idle,,13,idle,,15,idle,,30,10,1.0,,,marciana,,,,,,,,,
event_juveniledays_06_s_7,40053,event_juveniledays_06_s,Speech,marciana,Locale_SubScenario:event_juveniledays_06_s_7,True,,1,idle,,3,idle,,13,idle,,15,idle,,10,100,1.0,,,marciana,,,,,,,,,
event_juveniledays_06_s_8,40053,event_juveniledays_06_s,Speech,marciana,Locale_SubScenario:event_juveniledays_06_s_8,True,,1,idle,,3,idle,,13,idle,,15,idle,,100,100,1.0,,,marciana,,,,,,,,,
event_juveniledays_06_s_9,40053,event_juveniledays_06_s,Speech,ein,Locale_SubScenario:event_juveniledays_06_s_9,True,,1,idle,,3,idle,,13,idle,,15,idle,,30,30,1.0,,,ein,,,,,,,,,
event_juveniledays_06_s_10,40053,event_juveniledays_06_s,Speech,marciana,Locale_SubScenario:event_juveniledays_06_s_10,True,,1,idle,,3,idle,,13,idle,,15,idle,,100,100,1.0,,,marciana,,,,,,,,,
event_juveniledays_06_s_11,40053,event_juveniledays_06_s,Speech,zwei,Locale_SubScenario:event_juveniledays_06_s_11,True,,1,idle,,3,idle,,13,idle,,15,idle,,130,130,1.0,,,zwei,,,,,,,,,
