id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,fade,play_sound,set_filter_01
event_claymore_02_s_1,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_1,False,malestaff,1,idle,Park,black,black,1.0,none,,,,,,
event_claymore_02_s_2,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_2,True,,1,idle,,1,1,1.0,bgm_story_fairytalesend_if,malestaff,malestaff,,,,
event_claymore_02_s_3,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_3,True,,1,idle,,1,1,1.0,,malestaff,malestaff,,,,
event_claymore_02_s_4,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_4,True,,1,idle,,1,1,1.0,,malestaff,malestaff,,,,
event_claymore_02_s_5,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_5,True,,1,idle,,1,1,1.0,,malestaff,malestaff,,,,
event_claymore_02_s_6,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_6,True,,1,idle,,1,1,1.0,,malestaff,malestaff,,,,
event_claymore_02_s_7,40050,event_claymore_02_s,Self,Locale_SubScenario:event_claymore_02_s_7,False,,1,idle,,1,1,1.0,,,,,,,
event_claymore_02_s_8,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_8,True,,1,idle,,1,1,1.0,,malestaff,malestaff,,,,
event_claymore_02_s_9,40050,event_claymore_02_s,Self,Locale_SubScenario:event_claymore_02_s_9,False,,1,idle,OuterRim,black,black,1.0,,,,malestaff,black,,
event_claymore_02_s_10,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_10,False,,,,,1,1,1.0,,,,,,,
event_claymore_02_s_11,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_11,False,,,,,1,1,1.0,,,,,,,
event_claymore_02_s_12,40050,event_claymore_02_s,Self,Locale_SubScenario:event_claymore_02_s_12,False,,,,,1,1,1.0,,,,,,,
event_claymore_02_s_13,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_13,True,bigman,17,idle,,1,17,1.5,,bigman,bigman,,,,
event_claymore_02_s_14,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_14,True,,17,idle,,17,17,1.0,,bigman,bigman,,,,
event_claymore_02_s_15,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_15,True,,17,idle,,17,17,1.0,,bigman,bigman,,,,
event_claymore_02_s_16,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_16,False,,17,idle,,17,17,1.0,,bigman,,,,,
event_claymore_02_s_17,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_17,True,,17,idle,,17,17,1.0,,bigman,bigman,,,,
event_claymore_02_s_18,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_18,True,,17,idle,,17,17,1.0,,bigman,bigman,,,,
event_claymore_02_s_19,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_19,True,,17,idle,,17,17,1.0,,bigman,bigman,,,,
event_claymore_02_s_20,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_20,True,,17,idle,,17,17,1.0,,bigman,bigman,,,,
event_claymore_02_s_21,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_21,True,,17,idle,,17,17,1.0,,bigman,bigman,,,,
event_claymore_02_s_22,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_22,False,,17,idle,,17,17,1.0,,bigman,,,,,
event_claymore_02_s_23,40050,event_claymore_02_s,Self,Locale_SubScenario:event_claymore_02_s_23,False,,17,idle,,17,17,1.0,,,,,,,
event_claymore_02_s_24,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_24,True,,17,idle,,17,17,1.0,,bigman,bigman,,,,
event_claymore_02_s_25,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_25,False,,17,idle,Backstreet_n,black,black,1.0,none,bigman,,bigman,,,
event_claymore_02_s_26,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_26,True,,,,,1,1,1.0,bgm_story_epicjazzymoods,spectators,spectators,,,sfx_scn_fightcrowd,
event_claymore_02_s_27,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_27,False,,,,,1,1,1.0,,,,,,,
event_claymore_02_s_28,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_28,False,,,,,1,10,1.0,,,,,,,
event_claymore_02_s_29,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_29,False,,,,,10,10,1.0,,,,,,,
event_claymore_02_s_30,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_30,False,,,,,10,10,1.0,,,,,,,
event_claymore_02_s_31,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_31,False,,,,,10,1,1.0,,,,,,,
event_claymore_02_s_32,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_32,False,,,,,1,1,1.0,,,,,,,
event_claymore_02_s_33,40050,event_claymore_02_s,Self,Locale_SubScenario:event_claymore_02_s_33,False,,,,,1,1,1.0,,,,,,,
event_claymore_02_s_34,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_34,False,clay,5,no,,1,1,1.0,,,,,,,
event_claymore_02_s_35,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_35,True,,5,no,,1,5,1.5,,clay,clay,,,,
event_claymore_02_s_36,40050,event_claymore_02_s,Monologue,Locale_SubScenario:event_claymore_02_s_36,False,,5,no,,5,5,1.0,,clay,,,,,
event_claymore_02_s_37,40050,event_claymore_02_s,Speech,Locale_SubScenario:event_claymore_02_s_37,True,,5,sad,,5,5,1.0,,clay,clay,,,,
