id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_maidinvalentine_04_s_1,40007,event_maidinvalentine_04_s,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_04_s_1,True,sweetjohnny,5,idle,cocoa,3,idle,soda,1,idle,ade,13,idle,Storage,4,4,1.0,bgm_story_whosdumber,
event_maidinvalentine_04_s_2,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_2,True,,5,idle,,3,idle,,1,idle,,13,idle,,4,4,1.0,,
event_maidinvalentine_04_s_3,40007,event_maidinvalentine_04_s,Monologue,sweetjohnny,Monologue,Locale_SubScenario:event_maidinvalentine_04_s_3,False,,5,idle,,3,idle,,1,idle,,13,idle,,4,4,1.0,,
event_maidinvalentine_04_s_4,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_4,True,,5,idle,,3,idle,,1,idle,,13,idle,,4,4,1.0,,
event_maidinvalentine_04_s_5,40007,event_maidinvalentine_04_s,Monologue,sweetjohnny,Monologue,Locale_SubScenario:event_maidinvalentine_04_s_5,False,,5,idle,,3,idle,,1,idle,,13,idle,,black,black,1.0,,
event_maidinvalentine_04_s_6,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_6,True,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,
event_maidinvalentine_04_s_7,40007,event_maidinvalentine_04_s,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_04_s_7,True,,5,idle,,3,idle,,1,think,,13,idle,,5,1,0.3,,
event_maidinvalentine_04_s_8,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_8,True,,5,idle,,3,idle,,1,think,,13,idle,,1,1,1.0,,
event_maidinvalentine_04_s_9,40007,event_maidinvalentine_04_s,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_04_s_9,True,,5,idle,,3,idle,,1,sad,,13,idle,,1,S_10,2.0,,
event_maidinvalentine_04_s_10,40007,event_maidinvalentine_04_s,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_s_10,True,,5,idle,,3,idle,,1,sad,,13,idle,,50,50,1.0,,
