id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/3/hide_char_id
event_cherryblossom_02_e_1,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_1,True,sakura,1,idle,moran,3,think,noise_c,13,angry,CherryBlossom,13,13,1.0,bgm_story_languor,,,,,
event_cherryblossom_02_e_2,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_2,True,,1,idle,,3,think,,13,angry,,13,13,1.0,,,,,,
event_cherryblossom_02_e_3,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_3,True,,1,idle,,3,think,,13,sad,,13,13,1.0,,,,,,
event_cherryblossom_02_e_4,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_4,True,,1,idle,,3,think,,13,sad,,13,13,1.0,,,,,,
event_cherryblossom_02_e_5,40011,event_cherryblossom_02_e,Self,,,Locale_SubScenario:event_cherryblossom_02_e_5,False,,1,idle,,3,think,,13,sad,,13,13,1.0,,,,,,
event_cherryblossom_02_e_6,40011,event_cherryblossom_02_e,Self,,,Locale_SubScenario:event_cherryblossom_02_e_6,False,,1,idle,,3,think,,13,sad,,13,13,1.0,,,,,,
event_cherryblossom_02_e_7,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_7,True,,1,idle,,3,think,,13,shy,,13,130,1.0,,,,,,
event_cherryblossom_02_e_8,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_8,True,,1,idle,,3,think,,13,shy,,130,130,1.0,,,,,,
event_cherryblossom_02_e_9,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_9,True,,1,idle,,3,think,,13,angry,,130,130,1.0,,,,,,
event_cherryblossom_02_e_10,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_10,True,,1,idle,,3,think,,13,angry,,130,130,1.0,,,,,,
event_cherryblossom_02_e_11,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_11,True,,1,idle,,3,think,,13,angry,,130,130,1.0,,,,,,
event_cherryblossom_02_e_12,40011,event_cherryblossom_02_e,Speech,sakura,sakura,Locale_SubScenario:event_cherryblossom_02_e_12,True,,1,idle,,3,think,,13,angry,,100,100,1.0,,,,,,
event_cherryblossom_02_e_13,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_13,True,,1,idle,,3,think,,13,shy,,130,130,1.0,,,,,,
event_cherryblossom_02_e_14,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_14,True,,1,idle,,3,think,,13,shy,,130,130,1.0,,,,,,
event_cherryblossom_02_e_15,40011,event_cherryblossom_02_e,Speech,noise_c,noise,Locale_SubScenario:event_cherryblossom_02_e_15,True,,1,idle,,3,think,,13,angry,,130,1300,0.7,,,,,,
event_cherryblossom_02_e_16,40011,event_cherryblossom_02_e,Speech,moran,moran,Locale_SubScenario:event_cherryblossom_02_e_16,True,,1,idle,,3,angry,,13,angry,,3,L_30,1.0,,,,,,
