id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
snowfall_speech_npc_day11_06_1,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_1,True,BigHotSpring_s,2,2,1.0,amb_so_hotspring_2,event_bgm_neverland_hugme_sunset,,delta,3,idle,signal,1,delight
snowfall_speech_npc_day11_06_2,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_2,True,,2,2,1.0,,,,,3,idle,,1,delight
snowfall_speech_npc_day11_06_3,80903,snowfall_speech_npc_day11_06,Speech,delta,delta,Locale_SubScenario:snowfall_speech_npc_day11_06_3,True,,2,2,1.0,,,,,3,delight,,1,delight
snowfall_speech_npc_day11_06_4,80903,snowfall_speech_npc_day11_06,Speech,delta,delta,Locale_SubScenario:snowfall_speech_npc_day11_06_4,True,,2,2,1.0,,,,,3,idle,,1,delight
snowfall_speech_npc_day11_06_5,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_5,True,,2,2,1.0,,,,,3,idle,,1,delight
snowfall_speech_npc_day11_06_6,80903,snowfall_speech_npc_day11_06,Narration,,,Locale_SubScenario:snowfall_speech_npc_day11_06_6,False,,2,2,1.0,,,sfx_scn_walkiesignal,,3,surprise,,1,idle
snowfall_speech_npc_day11_06_7,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_7,True,,2,2,1.0,,,,,3,surprise,,1,idle
snowfall_speech_npc_day11_06_8,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_8,True,,2,2,1.0,,,,,3,surprise,,1,idle
snowfall_speech_npc_day11_06_9,80903,snowfall_speech_npc_day11_06,Speech,delta,delta,Locale_SubScenario:snowfall_speech_npc_day11_06_9,True,,2,2,1.0,,,,,3,angry,,1,idle
snowfall_speech_npc_day11_06_10,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_10,True,,2,2,1.0,,,,,3,idle,,1,idle
snowfall_speech_npc_day11_06_11,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_11,True,,2,2,1.0,,,,,3,idle,,1,idle
snowfall_speech_npc_day11_06_12,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_12,True,,2,2,1.0,,,,,3,idle,,1,idle
snowfall_speech_npc_day11_06_13,80903,snowfall_speech_npc_day11_06,Speech,delta,delta,Locale_SubScenario:snowfall_speech_npc_day11_06_13,True,,2,2,1.0,,,,,3,idle,,1,idle
snowfall_speech_npc_day11_06_14,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_14,True,,2,2,1.0,,,,,3,idle,,1,idle
snowfall_speech_npc_day11_06_15,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_15,True,,2,2,1.0,,,,,3,idle,,1,idle
snowfall_speech_npc_day11_06_16,80903,snowfall_speech_npc_day11_06,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day11_06_16,True,,2,2,1.0,,,,,3,idle,,1,shy
snowfall_speech_npc_day11_06_17,80903,snowfall_speech_npc_day11_06,Narration,,,Locale_SubScenario:snowfall_speech_npc_day11_06_17,False,,black,black,1.0,,,,,3,idle,,1,shy
