id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim
event_seayouagain2_03_e_1,40025,event_seayouagain2_03_e,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_03_e_1,False,helm_s,9,idle,anis_s,7,worry,neon_s,5,no,rapi_s,3,idle,frima_s,1,no,Beach_d,XS_70,XS_700,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,
event_seayouagain2_03_e_2,40025,event_seayouagain2_03_e,Speech,rapi_s,rapi,Locale_MainScenario:event_seayouagain2_03_e_2,False,,9,idle,,7,worry,,5,no,,3,idle,,1,no,,30,300,1.0,,,,,,,,,,,,,,
event_seayouagain2_03_e_3,40025,event_seayouagain2_03_e,Speech,neon_s,neon,Locale_MainScenario:event_seayouagain2_03_e_3,False,,9,idle,,7,worry,,5,no,,3,idle,,1,no,,XS_50,XS_500,1.0,,,,,,,,,,,,,,
event_seayouagain2_03_e_4,40025,event_seayouagain2_03_e,Speech,frima_s,frima,Locale_MainScenario:event_seayouagain2_03_e_4,False,,9,idle,,7,worry,,5,no,,3,idle,,1,no,,10,10,1.0,,,,,,,,,,,,,,
event_seayouagain2_03_e_5,40025,event_seayouagain2_03_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_03_e_5,False,,9,idle,,7,worry,,5,no,,3,idle,,1,no,,90,90,1.0,,,,,,,,,,,,,,
event_seayouagain2_03_e_6,40025,event_seayouagain2_03_e,Self,,Self,Locale_MainScenario:event_seayouagain2_03_e_6,False,,9,idle,,7,worry,,5,no,,3,idle,,1,no,,90,90,1.0,,,,,,,,,,,,,,
event_seayouagain2_03_e_7,40025,event_seayouagain2_03_e,Speech,rapi_s,rapi,Locale_MainScenario:event_seayouagain2_03_e_7,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,idle,,30,30,1.0,,,,,,,,,,,,,,
event_seayouagain2_03_e_8,40025,event_seayouagain2_03_e,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_03_e_8,True,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,XS_70,XS_70,1.0,,,,,,,,,,,,,,
event_seayouagain2_03_e_9,40025,event_seayouagain2_03_e,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_03_e_9,True,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,XS_70,XS_70,1.0,,,,,,,,,,,,,,
event_seayouagain2_03_e_10,40025,event_seayouagain2_03_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_03_e_10,True,,9,idle,,7,angry,,5,idle,,3,idle,,1,idle,,XS_70,90,1.0,,,,,,,,,,,,,,
