id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_nonsensered_7_1,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_1,True,rapunzel,1,idle,CommanderRoom,1,10,1.0,event_bgm_redhood_costumes,
event_nonsensered_7_2,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_2,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_3,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_3,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_4,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_4,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_5,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_5,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_6,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_6,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_7,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_7,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_8,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_8,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_9,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_9,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_10,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_10,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_11,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_11,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_12,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_12,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_13,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_13,False,,1,idle,,10,10,1.0,,
event_nonsensered_7_14,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_14,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_15,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_15,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_16,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_16,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_17,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_17,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_18,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_18,False,,1,idle,,10,10,1.0,,
event_nonsensered_7_19,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_19,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_20,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_20,True,,1,idle,,10,10,1.0,,
event_nonsensered_7_21,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_21,False,,1,sad,,10,10,1.0,,
event_nonsensered_7_22,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_22,True,,1,sad,,10,10,1.0,,
event_nonsensered_7_23,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_23,True,,1,sad,,10,10,1.0,,
event_nonsensered_7_24,130005,event_nonsensered_7,Narration,rapunzel,,Locale_SubScenario:event_nonsensered_7_24,False,,1,sad,,10,1,1.0,,sfx_scn_sofasheet
event_nonsensered_7_25,130005,event_nonsensered_7,Monologue,rapunzel,,Locale_SubScenario:event_nonsensered_7_25,False,,1,sad,,1,1,1.0,,
event_nonsensered_7_26,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_26,True,,1,sad,,1,1,1.0,,
event_nonsensered_7_27,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_27,True,,1,sad,,1,1,1.0,,
event_nonsensered_7_28,130005,event_nonsensered_7,Speech,rapunzel,rapunzel,Locale_SubScenario:event_nonsensered_7_28,True,,1,sad,,1,1,1.0,,
event_nonsensered_7_29,130005,event_nonsensered_7,Monologue,rapunzel,,Locale_SubScenario:event_nonsensered_7_29,False,,1,sad,,black,black,1.0,,
event_nonsensered_7_30,130005,event_nonsensered_7,Monologue,rapunzel,,Locale_SubScenario:event_nonsensered_7_30,False,,1,sad,,black,black,1.0,,
