id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_contents_dungeon_run_07_1,81701,d_contents_dungeon_run_07,,Narration,,,Locale_SubScenario:d_contents_dungeon_run_07_1,False,DragonCastleIn,,,,,,black,black,0,,,,100,none,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_2,81701,d_contents_dungeon_run_07,,Narration,,,Locale_SubScenario:d_contents_dungeon_run_07_2,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_3,81701,d_contents_dungeon_run_07,,Narration,,,Locale_SubScenario:d_contents_dungeon_run_07_3,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,maiden_w,,2,worry,vesti_c,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_4,81701,d_contents_dungeon_run_07,,Speech,vesti_c,vesti_c,Locale_SubScenario:d_contents_dungeon_run_07_4,True,,,,,,,1,1,0,,,,100,event_bgm_neverland_snowflakes_sunset,,None,None,,None,False,,,2,worry,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_5,81701,d_contents_dungeon_run_07,,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_07_5,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,worry,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_6,81701,d_contents_dungeon_run_07,,Speech,vesti_c,vesti_c,Locale_SubScenario:d_contents_dungeon_run_07_6,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,worry,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_7,81701,d_contents_dungeon_run_07,,Speech,vesti_c,vesti_c,Locale_SubScenario:d_contents_dungeon_run_07_7,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,worry,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_8,81701,d_contents_dungeon_run_07,,Speech,vesti_c,vesti_c,Locale_SubScenario:d_contents_dungeon_run_07_8,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,worry,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_9,81701,d_contents_dungeon_run_07,,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_07_9,True,,,,,,,1,L_20,0,,,,100,,,None,None,,None,False,,,2,no,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_10,81701,d_contents_dungeon_run_07,,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_07_10,True,,,,,,,L_20,L_20,0,,,,100,,,None,None,,None,False,,,2,no,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_11,81701,d_contents_dungeon_run_07,,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_07_11,True,,,,,,,L_20,L_20,0,,,,100,,,None,None,,None,False,,,2,no,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_12,81701,d_contents_dungeon_run_07,,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_07_12,True,,,,,,,L_20,L_20,0,,,,100,,,None,None,,None,False,,,2,no,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_13,81701,d_contents_dungeon_run_07,,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_07_13,True,,,,,,,L_20,L_20,0,,,,100,,,None,None,,None,False,,,2,no,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_14,81701,d_contents_dungeon_run_07,,Speech,vesti_c,vesti_c,Locale_SubScenario:d_contents_dungeon_run_07_14,True,,,,,,,L_20,1,0,,,,100,,,None,None,,None,False,,,2,no,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_15,81701,d_contents_dungeon_run_07,,Speech,vesti_c,vesti_c,Locale_SubScenario:d_contents_dungeon_run_07_15,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,no,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_16,81701,d_contents_dungeon_run_07,,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_07_16,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,shy,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_17,81701,d_contents_dungeon_run_07,,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_07_17,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,shy,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_dungeon_run_07_18,81701,d_contents_dungeon_run_07,,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_07_18,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,shy,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
