id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_bluewaterisland2_04_e_1,40021,event_bluewaterisland2_04_e,,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_04_e_1,True,Beach_d,,,,,,XS_90,XS_90,0,,,,100,bgm_inark,,None,None,,None,False,pepper_s,,9,delight,mary_s,,7,idle,rapi_s,,4,idle,frima_s,,2,idle,yan_s,,12,idle,liter_s,,14,idle,neon_s,,16,idle,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland2_04_e_2,40021,event_bluewaterisland2_04_e,,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_04_e_2,True,,,,,,,XS_90,XS_90,0,,,,100,,,None,None,,None,False,,,9,delight,,,7,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland2_04_e_3,40021,event_bluewaterisland2_04_e,,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_04_e_3,True,,,,,,,XS_90,8,0,,,,100,,,None,None,,None,False,,,9,delight,,,7,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland2_04_e_4,40021,event_bluewaterisland2_04_e,,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_04_e_4,True,,,,,,,8,8,0,,,,100,,,None,None,,None,False,,,9,shy,,,7,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland2_04_e_5,40021,event_bluewaterisland2_04_e,,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_04_e_5,True,,,,,,,8,8,0,,,,100,,,None,None,,None,False,,,9,shy,,,7,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland2_04_e_6,40021,event_bluewaterisland2_04_e,,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_04_e_6,True,,,,,,,8,8,0,,,,100,,,None,None,,None,False,,,9,delight,,,7,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland2_04_e_7,40021,event_bluewaterisland2_04_e,,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_04_e_7,True,,,,,,,8,8,0,,,,100,,,None,None,,None,False,,,9,delight,,,7,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland2_04_e_8,40021,event_bluewaterisland2_04_e,,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_04_e_8,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland2_04_e_9,40021,event_bluewaterisland2_04_e,,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_04_e_9,True,,,,,,,8,8,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,False,,,,False
event_bluewaterisland2_04_e_10,40021,event_bluewaterisland2_04_e,,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_04_e_10,True,,,,,,,8,8,0,,,,100,,,None,None,,None,False,,,9,angry,,,7,idle,,,4,idle,,,2,idle,,,12,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,False,,,,False
