id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker
snowfall_speech_npc_day2_06_1,80903,snowfall_speech_npc_day2_06,Narration,Locale_SubScenario:snowfall_speech_npc_day2_06_1,False,signal,1,shy,delta,3,idle,Trail_n,black,black,1.0,sfx_scn_down,amb_so_trail_3,event_bgm_neverland_snowflakes_night,,
snowfall_speech_npc_day2_06_2,80903,snowfall_speech_npc_day2_06,Speech,Locale_SubScenario:snowfall_speech_npc_day2_06_2,True,,1,shy,,3,idle,,2,2,1.0,,,,signal,signal
snowfall_speech_npc_day2_06_3,80903,snowfall_speech_npc_day2_06,Speech,Locale_SubScenario:snowfall_speech_npc_day2_06_3,True,,1,shy,,3,idle,,2,2,1.0,,,,delta,delta
snowfall_speech_npc_day2_06_4,80903,snowfall_speech_npc_day2_06,Speech,Locale_SubScenario:snowfall_speech_npc_day2_06_4,True,,1,shy,,3,idle,,2,2,1.0,,,,delta,delta
snowfall_speech_npc_day2_06_5,80903,snowfall_speech_npc_day2_06,Speech,Locale_SubScenario:snowfall_speech_npc_day2_06_5,True,,1,shy,,3,idle,,2,2,1.0,,,,signal,signal
snowfall_speech_npc_day2_06_6,80903,snowfall_speech_npc_day2_06,Speech,Locale_SubScenario:snowfall_speech_npc_day2_06_6,True,,1,shy,,3,idle,,2,2,1.0,,,,signal,signal
snowfall_speech_npc_day2_06_7,80903,snowfall_speech_npc_day2_06,Speech,Locale_SubScenario:snowfall_speech_npc_day2_06_7,True,,1,shy,,3,idle,,2,2,1.0,,,,delta,delta
snowfall_speech_npc_day2_06_8,80903,snowfall_speech_npc_day2_06,Speech,Locale_SubScenario:snowfall_speech_npc_day2_06_8,True,,1,shy,,3,idle,,2,2,1.0,,,,signal,signal
snowfall_speech_npc_day2_06_9,80903,snowfall_speech_npc_day2_06,Speech,Locale_SubScenario:snowfall_speech_npc_day2_06_9,True,,1,shy,,3,idle,,2,2,1.0,,,,signal,signal
snowfall_speech_npc_day2_06_10,80903,snowfall_speech_npc_day2_06,Speech,Locale_SubScenario:snowfall_speech_npc_day2_06_10,True,,1,shy,,3,idle,,2,2,1.0,,,,delta,delta
snowfall_speech_npc_day2_06_11,80903,snowfall_speech_npc_day2_06,Narration,Locale_SubScenario:snowfall_speech_npc_day2_06_11,False,,1,shy,,3,idle,,black,black,1.0,,,,,
