id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,play_sound,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,set_filter_02,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_killthelord_02_e_1,40043,event_killthelord_02_e,Monologue,d_w,Locale_SubScenario:event_killthelord_02_e_1,False,d_w,1,special,Hotel_n,12,1,1.0,none,,,,,,,,,,,,,,
event_killthelord_02_e_2,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_2,True,,1,special,,1,1,1.0,bgm_mystery,d_w,,,,,,,,,,,,,
event_killthelord_02_e_3,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_3,True,,1,special,,1,1,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_4,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_4,True,,1,special,,1,1,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_5,40043,event_killthelord_02_e,Self,d_w,Locale_SubScenario:event_killthelord_02_e_5,False,,1,special,,1,1,1.0,,,,,,,,,,,,,,,
event_killthelord_02_e_6,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_6,True,,1,special,,1,10,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_7,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_7,True,,1,special,,10,10,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_8,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_8,True,,1,special,,10,10,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_9,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_9,True,,1,think,,10,10,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_10,40043,event_killthelord_02_e,Self,d_w,Locale_SubScenario:event_killthelord_02_e_10,False,,1,think,,10,10,1.0,,,,,,,,,,,,,,,
event_killthelord_02_e_11,40043,event_killthelord_02_e,Self,d_w,Locale_SubScenario:event_killthelord_02_e_11,False,,1,think,,10,10,1.0,,,,,,,,,,,,,,,
event_killthelord_02_e_12,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_12,True,,1,think,,10,10,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_13,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_13,True,,1,think,,10,10,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_14,40043,event_killthelord_02_e,Self,d_w,Locale_SubScenario:event_killthelord_02_e_14,False,,1,think,,10,10,1.0,,,,,,,,,,,,,,,
event_killthelord_02_e_15,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_15,True,,1,special,,10,10,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_16,40043,event_killthelord_02_e,Self,d_w,Locale_SubScenario:event_killthelord_02_e_16,False,,1,special,,10,10,1.0,,,,,,,,,,,,,,,
event_killthelord_02_e_17,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_17,False,,1,think,,10,10,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_18,40043,event_killthelord_02_e,Speech,d_w,Locale_SubScenario:event_killthelord_02_e_18,True,,1,think,,10,10,1.0,,d_w,,,,,,,,,,,,,
event_killthelord_02_e_19,40043,event_killthelord_02_e,Self,d_w,Locale_SubScenario:event_killthelord_02_e_19,False,,1,think,,10,10,1.0,,,,,,,,,,,,,,,
event_killthelord_02_e_20,40043,event_killthelord_02_e,Monologue,d_w,Locale_SubScenario:event_killthelord_02_e_20,False,,1,think,,black,black,1.0,none,,d_w,sfx_scn_shower,black,,,,,,,,,,
event_killthelord_02_e_21,40043,event_killthelord_02_e,Narration,d_w,Locale_SubScenario:event_killthelord_02_e_21,False,,,,,black,black,1.0,,,,sfx_scn_glassdooropen,,killthelord_event,1,idle,,,,,,,
event_killthelord_02_e_22,40043,event_killthelord_02_e,Monologue,,Locale_SubScenario:event_killthelord_02_e_22,False,,,,,killthelord_01,killthelord_01,1.0,bgm_story_marrybad,,,,black,,1,idle,,,,,,,
event_killthelord_02_e_23,40043,event_killthelord_02_e,Self,,Locale_SubScenario:event_killthelord_02_e_23,False,,,,,killthelord_01,killthelord_01,1.0,,,,,,,1,idle,,,,,,,
event_killthelord_02_e_24,40043,event_killthelord_02_e,Speech,,Locale_SubScenario:event_killthelord_02_e_24,True,,,,,killthelord_01,killthelord_01,1.0,,d_w,,,,,1,idle,,,,,,,
event_killthelord_02_e_25,40043,event_killthelord_02_e,Self,,Locale_SubScenario:event_killthelord_02_e_25,False,,,,,killthelord_01,killthelord_01,1.0,,,,,,,1,idle,,,,,,,
event_killthelord_02_e_26,40043,event_killthelord_02_e,Self,,Locale_SubScenario:event_killthelord_02_e_26,False,,,,,killthelord_01,killthelord_01,1.0,,,,,,,1,idle,,,,,,,
event_killthelord_02_e_27,40043,event_killthelord_02_e,Speech,,Locale_SubScenario:event_killthelord_02_e_27,True,,,,,killthelord_01,killthelord_01,1.0,,d_w,,,,,1,idle,,,,,,,
event_killthelord_02_e_28,40043,event_killthelord_02_e,Speech,,Locale_SubScenario:event_killthelord_02_e_28,True,,,,,killthelord_01,killthelord_01,1.0,,d_w,,,,,1,idle,,,,,,,
