id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_goldencoinrush1_04_s_1,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_1,True,Hospital,,,,,,1,1,0,,,,100,bgm_story_backtonormal,,None,None,,None,False,mary_b,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_2,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_2,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_3,40048,event_goldencoinrush1_04_s,,Self,mary_b,,Locale_MainScenario:event_goldencoinrush1_04_s_3,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_4,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_4,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_5,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_5,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_6,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_6,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_7,40048,event_goldencoinrush1_04_s,,Self,mary_b,,Locale_MainScenario:event_goldencoinrush1_04_s_7,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_8,40048,event_goldencoinrush1_04_s,,Monologue,mary_b,,Locale_MainScenario:event_goldencoinrush1_04_s_8,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_9,40048,event_goldencoinrush1_04_s,,Monologue,mary_b,,Locale_MainScenario:event_goldencoinrush1_04_s_9,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_10,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_10,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_11,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_11,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_12,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_12,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_13,40048,event_goldencoinrush1_04_s,,Self,mary_b,,Locale_MainScenario:event_goldencoinrush1_04_s_13,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_14,40048,event_goldencoinrush1_04_s,,Monologue,mary_b,,Locale_MainScenario:event_goldencoinrush1_04_s_14,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_15,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_15,True,,,,,,,1,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush1_04_s_16,40048,event_goldencoinrush1_04_s,,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_04_s_16,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
