id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_seayouagain2_03_s_1,40025,event_seayouagain2_03_s,,Monologue,,Monologue,Locale_MainScenario:event_seayouagain2_03_s_1,False,Beach_d,,,,,,black,black,0,,,,100,bgm_story_orangepop,,None,None,,None,False,anis_s,,1,idle,neon_s,,3,no,liter_s,,13,delight,rapi_s,,15,idle,helm_s,,17,idle,frima_s,,5,idle,yan_s,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_2,40025,event_seayouagain2_03_s,,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_03_s_2,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,no,,,13,delight,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_3,40025,event_seayouagain2_03_s,,Speech,neon_s,neon,Locale_MainScenario:event_seayouagain2_03_s_3,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,no,,,13,delight,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_4,40025,event_seayouagain2_03_s,,Narration,,Narration,Locale_MainScenario:event_seayouagain2_03_s_4,False,,,,,,,31,31,0,,sfx_scn_wavebreak,,100,,,None,None,,None,False,,,1,idle,,,3,no,,,13,delight,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_5,40025,event_seayouagain2_03_s,,Speech,liter_s,liter,Locale_MainScenario:event_seayouagain2_03_s_5,True,,,,,,,31,XS_130,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,no,,,13,delight,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_6,40025,event_seayouagain2_03_s,,Speech,liter_s,liter,Locale_MainScenario:event_seayouagain2_03_s_6,True,,,,,,,XS_130,XS_130,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,no,,,13,delight,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_7,40025,event_seayouagain2_03_s,,Self,,Self,Locale_MainScenario:event_seayouagain2_03_s_7,False,,,,,,,XS_130,XS_130,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_8,40025,event_seayouagain2_03_s,,Monologue,,Monologue,Locale_MainScenario:event_seayouagain2_03_s_8,False,,,,,,,XS_130,XS_1300,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_9,40025,event_seayouagain2_03_s,,Speech,liter_s,liter,Locale_MainScenario:event_seayouagain2_03_s_9,True,,,,,,,XS_1300,XS_1300,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_10,40025,event_seayouagain2_03_s,,Speech,liter_s,liter,Locale_MainScenario:event_seayouagain2_03_s_10,True,,,,,,,XS_1300,XS_130,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,idle,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_11,40025,event_seayouagain2_03_s,,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_03_s_11,True,,,,,,,XS_130,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,idle,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_12,40025,event_seayouagain2_03_s,,Speech,neon_s,neon,Locale_MainScenario:event_seayouagain2_03_s_12,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,idle,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_13,40025,event_seayouagain2_03_s,,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_03_s_13,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,idle,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_14,40025,event_seayouagain2_03_s,,Speech,rapi_s,rapi,Locale_MainScenario:event_seayouagain2_03_s_14,True,,,,,,,150,150,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,idle,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_15,40025,event_seayouagain2_03_s,,Speech,rapi_s,rapi,Locale_MainScenario:event_seayouagain2_03_s_15,True,,,,,,,150,150,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,idle,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_16,40025,event_seayouagain2_03_s,,Self,,Self,Locale_MainScenario:event_seayouagain2_03_s_16,False,,,,,,,150,150,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,idle,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
event_seayouagain2_03_s_17,40025,event_seayouagain2_03_s,,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_03_s_17,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,worry,,,3,idle,,,13,idle,,,15,idle,,,17,idle,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,False,,,,False
