id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,characters/3/hide_char_id,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/4/hide_char_id,characters/5/hide_char_id
event_ce003_2_01_s_1,40042,event_ce003_2_01_s,Narration,Locale_SubScenario:event_ce003_2_01_s_1,False,ce_003_01,1,idle,ce_003_02,13,surprise,ce_003_03,15,idle,Corridor,black,black,1.0,event_bgm_ce003_story_1,,,,,,,,,,,,,,,,
event_ce003_2_01_s_2,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_2,True,,1,idle,,13,surprise,,15,idle,,13,130,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_3,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_3,True,,1,idle,,13,surprise,,15,idle,,130,130,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_4,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_4,True,,1,idle,,13,surprise,,15,idle,,130,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,
event_ce003_2_01_s_5,40042,event_ce003_2_01_s,Self,Locale_SubScenario:event_ce003_2_01_s_5,False,,1,idle,,13,idle,,15,idle,,150,150,1.0,,ce_003_03,,,,,,,,,,,,,,,
event_ce003_2_01_s_6,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_6,True,,1,idle,,13,idle,,15,idle,,150,130,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_7,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_7,True,,1,idle,,13,idle,,15,idle,,130,130,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_8,40042,event_ce003_2_01_s,Self,Locale_SubScenario:event_ce003_2_01_s_8,False,,1,idle,,13,idle,,15,idle,,130,130,1.0,,ce_003_02,,,,,,,,,,,,,,,
event_ce003_2_01_s_9,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_9,True,,1,idle,,13,worry,,15,idle,,130,13,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_10,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_10,True,,1,idle,,13,idle,,15,idle,,13,13,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_11,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_11,True,,1,idle,,13,idle,,15,smile,,13,15,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,
event_ce003_2_01_s_12,40042,event_ce003_2_01_s,Self,Locale_SubScenario:event_ce003_2_01_s_12,False,,1,idle,,13,idle,,15,smile,,15,15,1.0,,ce_003_03,,,,,,,,,,,,,,,
event_ce003_2_01_s_13,40042,event_ce003_2_01_s,Self,Locale_SubScenario:event_ce003_2_01_s_13,False,,1,idle,,13,idle,,15,smile,,15,15,1.0,,ce_003_03,,,,,,,,,,,,,,,
event_ce003_2_01_s_14,40042,event_ce003_2_01_s,Self,Locale_SubScenario:event_ce003_2_01_s_14,False,,1,idle,,13,idle,,15,idle,,15,15,1.0,,ce_003_03,,,,,,,,,,,,,,,
event_ce003_2_01_s_15,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_15,True,,1,idle,,13,idle,,15,idle,,15,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,
event_ce003_2_01_s_16,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_16,True,,1,idle,,13,idle,,15,idle,,150,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,
event_ce003_2_01_s_17,40042,event_ce003_2_01_s,Self,Locale_SubScenario:event_ce003_2_01_s_17,False,,1,idle,,13,idle,,15,idle,,150,150,1.0,,ce_003_03,,,,,,,,,,,,,,,
event_ce003_2_01_s_18,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_18,True,,1,idle,,13,idle,,15,delight,,150,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,
event_ce003_2_01_s_19,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_19,True,,1,smile,,13,idle,,15,delight,,S_10,S_10,1.0,,ce_003_01,ce_003_01,,,,,,,,,,,,,,
event_ce003_2_01_s_20,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_20,True,,1,smile,,13,idle,,15,delight,,S_10,S_10,1.0,,ce_003_01,ce_003_01,,,,,,,,,,,,,,
event_ce003_2_01_s_21,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_21,True,,1,idle,,13,worry,,15,delight,,S_10,130,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_22,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_22,True,,1,idle,,13,worry,,15,idle,,130,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,
event_ce003_2_01_s_23,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_23,True,,1,worry,,13,worry,,15,idle,,S_10,S_10,1.0,,ce_003_01,ce_003_01,,,,,,,,,,,,,,
event_ce003_2_01_s_24,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_24,True,,1,worry,,13,worry,,15,idle,,150,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,
event_ce003_2_01_s_25,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_25,True,,1,worry,,13,worry,,15,idle,,150,130,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_26,40042,event_ce003_2_01_s,Self,Locale_SubScenario:event_ce003_2_01_s_26,False,,1,worry,,13,worry,,15,idle,,130,130,1.0,,ce_003_02,,,,,,,,,,,,,,,
event_ce003_2_01_s_27,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_27,True,,1,worry,,13,worry,,15,idle,,130,130,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_28,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_28,True,,1,worry,,13,worry,,15,idle,,S_10,S_10,1.0,,ce_003_01,ce_003_01,,,,,,,,,,,,,,
event_ce003_2_01_s_29,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_29,True,,1,worry,,13,worry,,15,idle,,150,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,
event_ce003_2_01_s_30,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_30,True,,1,worry,,13,worry,,15,surprise,,150,150,1.0,,ce_003_03,ce_003_03,,,,,,,,,,,,,,
event_ce003_2_01_s_31,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_31,True,,1,worry,,13,idle,,15,surprise,,150,113,1.0,,ce_003_02,ce_003_02,,,,,,,,,,,,,,
event_ce003_2_01_s_32,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_32,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,,ce_003_01,ce_003_01,,,,,,,,,,,,,,
event_ce003_2_01_s_33,40042,event_ce003_2_01_s,Monologue,Locale_SubScenario:event_ce003_2_01_s_33,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,,ce_003_01,,,,,,,,,,,,,,,
event_ce003_2_01_s_34,40042,event_ce003_2_01_s,Monologue,Locale_SubScenario:event_ce003_2_01_s_34,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,,ce_003_01,,sentrybot,5,idle,,,,,,,,,,,
event_ce003_2_01_s_35,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_35,True,,1,idle,,13,idle,,15,idle,,5,5,1.0,,sentrybot,sentrybot,,5,idle,,,,,,,,,,,
event_ce003_2_01_s_36,40042,event_ce003_2_01_s,Speech,Locale_SubScenario:event_ce003_2_01_s_36,True,,1,idle,,13,idle,,15,idle,,5,5,1.0,,sentrybot,sentrybot,,5,idle,,,,,,,,,,,
event_ce003_2_01_s_37,40042,event_ce003_2_01_s,Monologue,Locale_SubScenario:event_ce003_2_01_s_37,False,,1,idle,,13,idle,,15,idle,,5,5,1.0,,sentrybot,,,5,idle,sfx_scn_paperopen,,,,,,,,,,
event_ce003_2_01_s_38,40042,event_ce003_2_01_s,Narration,Locale_SubScenario:event_ce003_2_01_s_38,False,,1,idle,,13,idle,,15,idle,,5,50,1.0,,sentrybot,,,5,idle,,,,,,,,,,,
event_ce003_2_01_s_39,40042,event_ce003_2_01_s,Narration,Locale_SubScenario:event_ce003_2_01_s_39,False,,1,idle,,13,idle,,15,idle,,50,50,1.0,,sentrybot,,,5,idle,,,,,,,,,,,
