id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_dazzlingcupid_prologue_38,40029,event_dazzlingcupid_prologue,,Monologue,,Monologue,Locale_SubScenario:event_dazzlingcupid_prologue_38,False,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_39,40029,event_dazzlingcupid_prologue,,Monologue,,Monologue,Locale_SubScenario:event_dazzlingcupid_prologue_39,False,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_40,40029,event_dazzlingcupid_prologue,,Monologue,,Monologue,Locale_SubScenario:event_dazzlingcupid_prologue_40,False,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_41,40029,event_dazzlingcupid_prologue,,Monologue,,Monologue,Locale_SubScenario:event_dazzlingcupid_prologue_41,False,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_42,40029,event_dazzlingcupid_prologue,,Speech,naga,naga,Locale_SubScenario:event_dazzlingcupid_prologue_42,True,,,,,,,30,4,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_43,40029,event_dazzlingcupid_prologue,,Speech,naga,naga,Locale_SubScenario:event_dazzlingcupid_prologue_43,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_44,40029,event_dazzlingcupid_prologue,,Narration,,Narration,Locale_SubScenario:event_dazzlingcupid_prologue_44,False,,,,,,,4,4,0,,sfx_scn_schoolbell,,100,,,None,None,,None,False,,,5,surprise,,,3,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_45,40029,event_dazzlingcupid_prologue,,Monologue,,Monologue,Locale_SubScenario:event_dazzlingcupid_prologue_45,False,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,surprise,,,3,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_46,40029,event_dazzlingcupid_prologue,,Self,,Self,Locale_SubScenario:event_dazzlingcupid_prologue_46,False,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,surprise,,,3,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_47,40029,event_dazzlingcupid_prologue,,Speech,tia,tia,Locale_SubScenario:event_dazzlingcupid_prologue_47,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_48,40029,event_dazzlingcupid_prologue,,Speech,naga,naga,Locale_SubScenario:event_dazzlingcupid_prologue_48,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_49,40029,event_dazzlingcupid_prologue,,Monologue,,Monologue,Locale_SubScenario:event_dazzlingcupid_prologue_49,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_dazzlingcupid_prologue_50,40029,event_dazzlingcupid_prologue,,Monologue,,Monologue,Locale_SubScenario:event_dazzlingcupid_prologue_50,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
