id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/2/hide_char_id,fade
event_nyanyaparadise_02_s_1,40022,event_nyanyaparadise_02_s,Monologue,Locale_SubScenario:event_nyanyaparadise_02_s_1,False,ruru,1,idle,nero,15,idle,Backstreet,1,XS_10,1.0,sfx_scn_noisily,bgm_story_orangepop,,,,,,,,,
event_nyanyaparadise_02_s_2,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_2,True,,1,idle,,15,idle,,XS_10,XS_10,1.0,,,ruru,ruru,,,,,,,
event_nyanyaparadise_02_s_3,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_3,True,,1,idle,,15,idle,,XS_10,XS_10,1.0,,,ruru,ruru,,,,,,,
event_nyanyaparadise_02_s_4,40022,event_nyanyaparadise_02_s,Monologue,Locale_SubScenario:event_nyanyaparadise_02_s_4,False,,1,idle,,15,idle,,XS_10,XS_10,1.0,,,,,,,,,,,
event_nyanyaparadise_02_s_5,40022,event_nyanyaparadise_02_s,Self,Locale_SubScenario:event_nyanyaparadise_02_s_5,False,,1,idle,,15,idle,,XS_10,L_150,2.0,,,,,,,,,,,
event_nyanyaparadise_02_s_6,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_6,True,,1,idle,,15,idle,,L_150,L_150,1.0,,,nero,nero,,,,,,,
event_nyanyaparadise_02_s_7,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_7,True,,1,idle,,15,idle,,L_150,L_150,1.0,,,nero,nero,,,,,,,
event_nyanyaparadise_02_s_8,40022,event_nyanyaparadise_02_s,Self,Locale_SubScenario:event_nyanyaparadise_02_s_8,False,,1,idle,,15,idle,,L_150,L_150,1.0,,,,,,,,,,,
event_nyanyaparadise_02_s_9,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_9,True,,1,idle,,15,idle,,L_150,L_1500,1.0,,,nero,nero,,,,,,,
event_nyanyaparadise_02_s_10,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_10,True,,1,idle,,15,idle,,L_1500,L_1500,1.0,,,nero,nero,,,,,,,
event_nyanyaparadise_02_s_11,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_11,True,,1,idle,,15,idle,,L_1500,L_1500,1.0,,,nero,nero,,,,,,,
event_nyanyaparadise_02_s_12,40022,event_nyanyaparadise_02_s,Narration,Locale_SubScenario:event_nyanyaparadise_02_s_12,False,,1,shy,,15,idle,,L_1500,XS_100,2.0,,,,,,,,,,,
event_nyanyaparadise_02_s_13,40022,event_nyanyaparadise_02_s,Narration,Locale_SubScenario:event_nyanyaparadise_02_s_13,False,,1,shy,,15,idle,,XS_100,XS_10,1.0,sfx_scn_dogyummy,none,,,,,,,,,
event_nyanyaparadise_02_s_14,40022,event_nyanyaparadise_02_s,Self,Locale_SubScenario:event_nyanyaparadise_02_s_14,False,,1,shy,,15,idle,,XS_10,XS_10,1.0,,,,,,,,,,,
event_nyanyaparadise_02_s_15,40022,event_nyanyaparadise_02_s,Monologue,Locale_SubScenario:event_nyanyaparadise_02_s_15,False,,1,shy,,15,idle,,XS_10,XS_10,1.0,,bgm_story_weare,,,,,,,,,
event_nyanyaparadise_02_s_16,40022,event_nyanyaparadise_02_s,Monologue,Locale_SubScenario:event_nyanyaparadise_02_s_16,False,,1,shy,,15,idle,,XS_10,XS_10,1.0,,,,,,,,,,,
event_nyanyaparadise_02_s_17,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_17,True,,1,surprise,,15,idle,,XS_10,XS_100,1.0,,,ruru,ruru,Low_2,,,,,,
event_nyanyaparadise_02_s_18,40022,event_nyanyaparadise_02_s,Monologue,Locale_SubScenario:event_nyanyaparadise_02_s_18,False,,1,surprise,,15,idle,,XS_100,XS_100,1.0,,,,,,,,,,,
event_nyanyaparadise_02_s_19,40022,event_nyanyaparadise_02_s,Self,Locale_SubScenario:event_nyanyaparadise_02_s_19,False,,1,surprise,,15,idle,,XS_100,L_1500,1.0,,,,,,,,,,,
event_nyanyaparadise_02_s_20,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_20,True,,1,surprise,,15,idle,,L_1500,L_1500,1.0,,,nero,nero,,,,,,,
event_nyanyaparadise_02_s_21,40022,event_nyanyaparadise_02_s,Narration,Locale_SubScenario:event_nyanyaparadise_02_s_21,False,,1,surprise,,15,idle,,black,black,1.0,sfx_scn_glassdooropen,,,,,,,,,,
event_nyanyaparadise_02_s_22,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_22,False,,1,surprise,,15,idle,,XS_100,XS_100,1.0,,,ruru,ruru,,,,,,,
event_nyanyaparadise_02_s_23,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_23,True,,1,surprise,,15,idle,,XS_100,31,2.0,,,storekeeper,storekeeper,,storekeeper,3,idle,,,
event_nyanyaparadise_02_s_24,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_24,True,,1,surprise,,15,idle,,31,31,1.0,,,storekeeper,storekeeper,,,3,idle,,,
event_nyanyaparadise_02_s_25,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_25,False,,1,surprise,,15,idle,,31,31,1.0,,,ruru,ruru,,,3,idle,,,
event_nyanyaparadise_02_s_26,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_26,True,,1,special,,15,idle,,31,31,1.0,,,ruru,ruru,,,3,idle,,,
event_nyanyaparadise_02_s_27,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_27,True,,1,special,,15,idle,,31,31,1.0,,,storekeeper,storekeeper,,,3,idle,,,
event_nyanyaparadise_02_s_28,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_28,False,,1,special,,15,idle,,31,30,2.0,,,storekeeper,storekeeper,,,3,idle,,,
event_nyanyaparadise_02_s_29,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_29,True,,1,special,,15,idle,,30,30,1.0,,,storekeeper,storekeeper,,,3,idle,,,
event_nyanyaparadise_02_s_30,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_30,True,,1,special,,15,idle,,30,30,1.0,,,storekeeper,storekeeper,,,3,idle,,,
event_nyanyaparadise_02_s_31,40022,event_nyanyaparadise_02_s,Speech,Locale_SubScenario:event_nyanyaparadise_02_s_31,False,,1,special,,15,idle,,30,30,1.0,,,ruru,ruru,,,3,idle,,,
event_nyanyaparadise_02_s_32,40022,event_nyanyaparadise_02_s,Narration,Locale_SubScenario:event_nyanyaparadise_02_s_32,False,,1,special,,15,idle,,30,30,1.0,sfx_scn_windowclack,,,,,,3,idle,,,
