id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade
treasurestory_bay_01_1,treasurestory_bay_01,Narration,bay,Locale_NikkeEpisode:treasurestory_bay_01_1,False,bay,1,idle,dancepracticeroom,black,black,1.0,sfx_scn_faststep,none,,
treasurestory_bay_01_2,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_2,True,,1,"expression_0,idle",,1,10,1.5,,,bay,
treasurestory_bay_01_3,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_3,True,,1,delight,,10,10,1.0,sfx_scn_pompom3,,bay,
treasurestory_bay_01_4,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_4,True,,1,delight,,10,100,1.0,sfx_scn_pompom3,,bay,
treasurestory_bay_01_5,treasurestory_bay_01,Self,bay,Locale_NikkeEpisode:treasurestory_bay_01_5,False,,1,delight,,100,100,1.0,,,,
treasurestory_bay_01_6,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_6,True,,1,worry,,100,10,1.0,,,bay,
treasurestory_bay_01_7,treasurestory_bay_01,Narration,bay,Locale_NikkeEpisode:treasurestory_bay_01_7,False,,1,worry,,black,black,1.0,sfx_scn_waterslip,,,
treasurestory_bay_01_8,treasurestory_bay_01,Narration,bay,Locale_NikkeEpisode:treasurestory_bay_01_8,False,,1,worry,,black,black,1.0,sfx_scn_down,,,
treasurestory_bay_01_9,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_9,True,,1,sad,,10,10,1.3,,bgm_story_cottoncandy,bay,black
treasurestory_bay_01_10,treasurestory_bay_01,Self,bay,Locale_NikkeEpisode:treasurestory_bay_01_10,False,,1,sad,,10,10,1.0,,,,
treasurestory_bay_01_11,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_11,True,,1,idle,,10,10,1.0,,,bay,
treasurestory_bay_01_12,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_12,True,,1,idle,,10,10,1.0,,,bay,
treasurestory_bay_01_13,treasurestory_bay_01,Self,bay,Locale_NikkeEpisode:treasurestory_bay_01_13,False,,1,idle,,10,10,1.0,,,,
treasurestory_bay_01_14,treasurestory_bay_01,Monologue,bay,Locale_NikkeEpisode:treasurestory_bay_01_14,False,,1,idle,,10,10,1.0,,,,
treasurestory_bay_01_15,treasurestory_bay_01,Self,bay,Locale_NikkeEpisode:treasurestory_bay_01_15,False,,1,idle,,10,10,1.0,,,,
treasurestory_bay_01_16,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_16,True,,1,idle,,10,10,1.0,,,bay,
treasurestory_bay_01_17,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_17,True,,1,idle,,10,10,1.0,,,bay,
treasurestory_bay_01_18,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_18,False,,1,idle,,10,10,1.0,,,bay,
treasurestory_bay_01_19,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_19,True,,1,idle,,10,10,1.0,,,bay,
treasurestory_bay_01_20,treasurestory_bay_01,Narration,bay,Locale_NikkeEpisode:treasurestory_bay_01_20,False,,1,idle,,10,10,1.0,,,,
treasurestory_bay_01_21,treasurestory_bay_01,Self,bay,Locale_NikkeEpisode:treasurestory_bay_01_21,False,,1,idle,,10,10,1.0,,,,
treasurestory_bay_01_22,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_22,True,,1,surprise,,10,10,1.3,,,bay,
treasurestory_bay_01_23,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_23,True,,1,surprise,,10,10,1.0,,,bay,
treasurestory_bay_01_24,treasurestory_bay_01,Self,bay,Locale_NikkeEpisode:treasurestory_bay_01_24,False,,1,surprise,,10,10,1.0,,,,
treasurestory_bay_01_25,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_25,True,,1,surprise,,10,10,1.0,,,bay,
treasurestory_bay_01_26,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_26,True,,1,surprise,,10,10,1.0,,,bay,
treasurestory_bay_01_27,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_27,True,,1,surprise,,10,10,1.0,,,bay,
treasurestory_bay_01_28,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_28,True,,1,idle,,10,10,1.0,,,bay,
treasurestory_bay_01_29,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_29,True,,1,idle,,10,10,1.0,,,bay,
treasurestory_bay_01_30,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_30,True,,1,idle,,10,10,1.0,,,bay,
treasurestory_bay_01_31,treasurestory_bay_01,Self,bay,Locale_NikkeEpisode:treasurestory_bay_01_31,False,,1,idle,,10,10,1.0,,,,
treasurestory_bay_01_32,treasurestory_bay_01,Monologue,bay,Locale_NikkeEpisode:treasurestory_bay_01_32,False,,1,idle,,10,100,1.3,,,,
treasurestory_bay_01_33,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_33,True,,1,surprise,,100,100,1.0,,,bay,
treasurestory_bay_01_34,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_34,True,,1,surprise,,100,100,1.0,,,bay,
treasurestory_bay_01_35,treasurestory_bay_01,Self,bay,Locale_NikkeEpisode:treasurestory_bay_01_35,False,,1,surprise,,100,100,1.0,,,,
treasurestory_bay_01_36,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_36,False,,1,idle,,100,100,1.0,,,bay,
treasurestory_bay_01_37,treasurestory_bay_01,Speech,bay,Locale_NikkeEpisode:treasurestory_bay_01_37,True,,1,delight,,100,100,1.0,,,bay,
treasurestory_bay_01_38,treasurestory_bay_01,Monologue,bay,Locale_NikkeEpisode:treasurestory_bay_01_38,False,,1,delight,,black,black,1.0,,,,
