id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,play_sound,characters/0/hide_char_id,fade,set_camera_shake,jump_target
d_nikke_yan_02_01,d_nikke_yan_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_02_01,True,yan,1,idle,anis,14,idle,neon,16,idle,rapi,18,idle,ShoppingMall,1,1,1.0,bgm_story_orangepop,,,,,,,,
d_nikke_yan_02_02,d_nikke_yan_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_02_02,True,,1,idle,,14,idle,,16,idle,,18,idle,,1,14,1.0,,,,,,,,,
d_nikke_yan_02_03,d_nikke_yan_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_02_03,True,,1,idle,,14,idle,,16,idle,,18,idle,,14,14,1.0,,,,,,,,,
d_nikke_yan_02_04,d_nikke_yan_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_02_04,True,,1,idle,,14,idle,,16,idle,,18,idle,,14,14,1.0,,,,,,,,,
d_nikke_yan_02_05,d_nikke_yan_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_02_05,True,,1,idle,,14,idle,,16,angry,,18,idle,,14,15,1.0,,,,,,,,,
d_nikke_yan_02_06,d_nikke_yan_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_02_06,True,,1,idle,,14,idle,,16,angry,,18,idle,,15,15,1.0,,,,,,,,,
d_nikke_yan_02_07,d_nikke_yan_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_02_07,True,,1,idle,,14,idle,,16,no,,18,idle,,15,S_160,1.0,,,,,,,,,
d_nikke_yan_02_08,d_nikke_yan_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_02_08,True,,1,sad,,14,idle,,16,no,,18,idle,,1,1,1.0,,,,,,,,,
d_nikke_yan_02_09,d_nikke_yan_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_02_09,True,,1,sad,,14,idle,,16,no,,18,idle,,1,1,1.0,,,,,,,,,
d_nikke_yan_02_10,d_nikke_yan_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_02_10,True,,1,sad,,14,idle,,16,no,,18,idle,,1,1,1.0,,,,,,,,,
d_nikke_yan_02_11,d_nikke_yan_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_02_11,True,,1,sad,,14,idle,,16,angry,,18,idle,,18,18,1.0,,,,,,,,,
d_nikke_yan_02_12,d_nikke_yan_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_02_12,True,,1,sad,,14,idle,,16,angry,,18,idle,,18,18,1.0,,,,,,,,,
d_nikke_yan_02_13,d_nikke_yan_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_yan_02_13,False,,1,sad,,15,idle,,17,angry,,19,idle,,black,black,1.0,,anis,neon,rapi,sfx_scn_autodooropen,,,,
d_nikke_yan_02_14,d_nikke_yan_02,Self,,Self,Locale_NikkeEpisode:d_nikke_yan_02_14,False,,1,sad,,,,,,,,,,,15,1,2.0,,,,,,,,,
