id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_brid_05_1,d_nikke_brid_05,,Monologue,,,Locale_NikkeEpisode:d_nikke_brid_05_1,False,MachineRoom,,,,,,black,black,0,,bgm_story_weare,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_2,d_nikke_brid_05,,Speech,brid,unknown,Locale_NikkeEpisode:d_nikke_brid_05_2,True,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_3,d_nikke_brid_05,,Monologue,brid,,Locale_NikkeEpisode:d_nikke_brid_05_3,False,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_4,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_4,True,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_5,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_5,True,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_6,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_6,True,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_7,d_nikke_brid_05,,Monologue,brid,,Locale_NikkeEpisode:d_nikke_brid_05_7,False,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_8,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_8,True,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_9,d_nikke_brid_05,,Monologue,brid,,Locale_NikkeEpisode:d_nikke_brid_05_9,False,,,,,,,1,1,0,,,,Blur_High,None,,None,False,brid,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_10,d_nikke_brid_05,,Self,brid,,Locale_NikkeEpisode:d_nikke_brid_05_10,False,,,,,,,1,1,0,,,,Blur_High,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_11,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_11,True,,,,,,,1,L_10,0,,,,Blur_High,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_12,d_nikke_brid_05,,Monologue,brid,,Locale_NikkeEpisode:d_nikke_brid_05_12,False,,,,,,,black,black,0,,none,,None,None,,None,False,,brid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_13,d_nikke_brid_05,,Narration,brid,,Locale_NikkeEpisode:d_nikke_brid_05_13,False,,,,,,,black,black,0,sfx_scn_trainrun,,Low_2,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_14,d_nikke_brid_05,,Monologue,brid,,Locale_NikkeEpisode:d_nikke_brid_05_14,False,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_15,d_nikke_brid_05,,Monologue,brid,,Locale_NikkeEpisode:d_nikke_brid_05_15,False,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_16,d_nikke_brid_05,,Monologue,brid,,Locale_NikkeEpisode:d_nikke_brid_05_16,False,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_17,d_nikke_brid_05,,Self,brid,,Locale_NikkeEpisode:d_nikke_brid_05_17,False,,,,,,,1,L_10,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_18,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_18,True,,,,,,,L_10,L_10,0,,bgm_story_breakaway,,None,None,,None,False,brid,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_19,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_19,True,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_20,d_nikke_brid_05,,Self,brid,,Locale_NikkeEpisode:d_nikke_brid_05_20,False,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_21,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_21,True,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_22,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_22,True,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_23,d_nikke_brid_05,,Self,brid,,Locale_NikkeEpisode:d_nikke_brid_05_23,False,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_24,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_24,True,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_25,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_25,True,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_26,d_nikke_brid_05,,Speech,brid,brid,Locale_NikkeEpisode:d_nikke_brid_05_26,True,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_brid_05_27,d_nikke_brid_05,,Self,brid,,Locale_NikkeEpisode:d_nikke_brid_05_27,False,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
