id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
treasurestory_milk_06_1,treasurestory_milk_06,,Monologue,milk,,Locale_NikkeEpisode:treasurestory_milk_06_1,False,Cafe,,,,,,black,black,0,,none,,None,None,,None,False,milk,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_milk_06_2,treasurestory_milk_06,,Narration,milk,,Locale_NikkeEpisode:treasurestory_milk_06_2,False,,,,,,,1,S_10,0,sfx_scn_sit,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_milk_06_3,treasurestory_milk_06,,Speech,milk,milk,Locale_NikkeEpisode:treasurestory_milk_06_3,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_milk_06_4,treasurestory_milk_06,,Self,milk,,Locale_NikkeEpisode:treasurestory_milk_06_4,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_milk_06_5,treasurestory_milk_06,,Monologue,milk,,Locale_NikkeEpisode:treasurestory_milk_06_5,False,,,,,,,black,black,0,,bgm_story_flipflop,,None,None,,None,False,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_milk_06_6,treasurestory_milk_06,,Monologue,milk,,Locale_NikkeEpisode:treasurestory_milk_06_6,False,,,,,,,black,black,0,,,,None,None,,None,False,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_milk_06_7,treasurestory_milk_06,,Speech,milk,milk,Locale_NikkeEpisode:treasurestory_milk_06_7,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_milk_06_8,treasurestory_milk_06,,Speech,milk,milk,Locale_NikkeEpisode:treasurestory_milk_06_8,True,,,,,,,S_10,S_100,0,,,,None,None,,None,False,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_milk_06_9,treasurestory_milk_06,,Monologue,milk,,Locale_NikkeEpisode:treasurestory_milk_06_9,False,,,,,,,S_100,S_100,0,,,,None,None,,None,False,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_milk_06_10,treasurestory_milk_06,,Monologue,milk,,Locale_NikkeEpisode:treasurestory_milk_06_10,False,,,,,,,S_100,S_100,0,,,,None,None,,None,False,,,1,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
