id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,play_sound,set_camera_shake,characters/0/hide_char_id
d_nikke_nero_05_1,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_1,False,nero,1,idle,OutpostOut,black,black,1.0,bgm_story_breakaway,,,,,,,
d_nikke_nero_05_2,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_2,False,,1,idle,,black,black,1.0,,,,,,,,
d_nikke_nero_05_3,d_nikke_nero_05,Self,Locale_NikkeEpisode:d_nikke_nero_05_3,False,,1,idle,,L_150,L_150,1.0,,,,,,,,
d_nikke_nero_05_4,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_4,True,,1,idle,,L_150,L_10,2.0,,nero,nero,,,,,
d_nikke_nero_05_5,d_nikke_nero_05,Self,Locale_NikkeEpisode:d_nikke_nero_05_5,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_nero_05_6,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_6,True,,1,idle,,L_10,L_10,1.0,,nero,nero,,,,,
d_nikke_nero_05_7,d_nikke_nero_05,Self,Locale_NikkeEpisode:d_nikke_nero_05_7,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_nero_05_8,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_8,True,,1,idle,,L_10,L_10,1.0,,notification,notification,,,,,
d_nikke_nero_05_9,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_9,True,,1,idle,,L_10,L_10,1.0,,notification,notification,,,,,
d_nikke_nero_05_10,d_nikke_nero_05,Self,Locale_NikkeEpisode:d_nikke_nero_05_10,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_nero_05_11,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_11,True,,1,idle,,L_10,L_100,1.0,,nero,nero,,,,,
d_nikke_nero_05_12,d_nikke_nero_05,Self,Locale_NikkeEpisode:d_nikke_nero_05_12,False,,1,idle,,L_100,L_100,1.0,,,,,,,,
d_nikke_nero_05_13,d_nikke_nero_05,Choice,Locale_NikkeEpisode:d_nikke_nero_05_13,False,,1,idle,,L_100,L_100,1.0,,,,d_nikke_nero_05_15,,,,
d_nikke_nero_05_14,d_nikke_nero_05,Choice,Locale_NikkeEpisode:d_nikke_nero_05_14,False,,1,idle,,L_100,L_100,1.0,,,,d_nikke_nero_05_21,,,,
d_nikke_nero_05_15,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_15,False,,1,idle,,L_100,L_100,1.0,,,,,,,,
d_nikke_nero_05_16,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_16,False,,1,idle,,L_100,L_100,1.0,,nero,nero,,,,,
d_nikke_nero_05_17,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_17,True,,1,idle,,L_100,L_100,1.0,,nero,nero,,,,,
d_nikke_nero_05_18,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_18,True,,1,idle,,L_100,L_100,1.0,,nero,nero,,,,,
d_nikke_nero_05_19,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_19,True,,1,idle,,L_100,L_100,1.0,,nero,nero,,,,,
d_nikke_nero_05_20,d_nikke_nero_05,Self,Locale_NikkeEpisode:d_nikke_nero_05_20,False,,1,idle,,L_100,L_100,1.0,,,,d_nikke_nero_05_21,,,,
d_nikke_nero_05_21,d_nikke_nero_05,Self,Locale_NikkeEpisode:d_nikke_nero_05_21,False,,1,idle,,L_100,L_100,1.0,,,,,,,,
d_nikke_nero_05_22,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_22,True,,1,idle,,L_100,L_10,1.0,,nero,nero,,,,,
d_nikke_nero_05_23,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_23,True,,1,idle,,L_10,L_10,1.0,,nero,nero,,,,,
d_nikke_nero_05_24,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_24,False,,1,idle,,L_10,L_10,1.0,,,,,black,,,
d_nikke_nero_05_25,d_nikke_nero_05,Narration,Locale_NikkeEpisode:d_nikke_nero_05_25,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_nero_05_26,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_26,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_nero_05_27,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_27,True,,1,idle,,L_10,L_10,1.0,,notification,notification,,,,,
d_nikke_nero_05_28,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_28,True,,1,idle,,L_10,L_10,1.0,,notification,notification,,,,,
d_nikke_nero_05_29,d_nikke_nero_05,Self,Locale_NikkeEpisode:d_nikke_nero_05_29,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_nero_05_30,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_30,True,,1,idle,,L_10,L_10,1.0,,notification,notification,,,,,
d_nikke_nero_05_31,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_31,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_nero_05_32,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_32,True,,1,idle,,L_10,L_10,1.0,,nero,nero,,,,,
d_nikke_nero_05_33,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_33,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_nero_05_34,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_34,True,,1,angry,,L_10,L_100,0.5,,notification,notification,,,sfx_scn_whistle,,
d_nikke_nero_05_35,d_nikke_nero_05,Narration,Locale_NikkeEpisode:d_nikke_nero_05_35,False,,1,angry,,L_100,L_100,1.0,,,,,,,,
d_nikke_nero_05_36,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_36,True,,1,angry,,L_100,L_10,1.0,,nero,nero,,,,,
d_nikke_nero_05_37,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_37,False,,1,angry,,L_10,L_10,1.0,,,,,,,,
d_nikke_nero_05_38,d_nikke_nero_05,Narration,Locale_NikkeEpisode:d_nikke_nero_05_38,False,,13,angry,,L_10,L_130,1.0,,,,,,,,
d_nikke_nero_05_39,d_nikke_nero_05,Speech,Locale_NikkeEpisode:d_nikke_nero_05_39,True,,13,angry,,L_130,L_130,1.0,,nero,nero,,,,,
d_nikke_nero_05_40,d_nikke_nero_05,Narration,Locale_NikkeEpisode:d_nikke_nero_05_40,False,,15,angry,,L_130,L_150,1.0,,,,,,,,
d_nikke_nero_05_41,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_41,False,,15,angry,,L_150,L_150,1.0,,,,,,,,
d_nikke_nero_05_42,d_nikke_nero_05,Narration,Locale_NikkeEpisode:d_nikke_nero_05_42,False,,15,sad,,L_150,L_1500,0.5,,,,,,sfx_scn_waterslide,Low_2,
d_nikke_nero_05_43,d_nikke_nero_05,Self,Locale_NikkeEpisode:d_nikke_nero_05_43,False,,15,sad,,L_1500,L_1500,1.0,,,,,,,,
d_nikke_nero_05_44,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_44,False,,15,sad,,L_1500,L_1500,1.0,,,,,,,,
d_nikke_nero_05_45,d_nikke_nero_05,Monologue,Locale_NikkeEpisode:d_nikke_nero_05_45,False,,15,sad,,L_1500,L_1500,1.0,,,,,,,,
