id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,characters/0/hide_char_id,set_filter_01,set_filter_02,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_dorothy_04_1,d_nikke_dorothy_04,Narration,Locale_NikkeEpisode:d_nikke_dorothy_04_1,False,rapi,1,idle,EdenIndoor,1,10,2.0,sfx_scn_autodooropen,bgm_story_edenin,,,,,,,,,,,,,,,
d_nikke_dorothy_04_2,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_2,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_3,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_3,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_4,d_nikke_dorothy_04,Self,Locale_NikkeEpisode:d_nikke_dorothy_04_4,False,,1,idle,,10,10,1.0,,,rapi,,,,,,,,,,,,,,
d_nikke_dorothy_04_5,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_5,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_6,d_nikke_dorothy_04,Self,Locale_NikkeEpisode:d_nikke_dorothy_04_6,False,,1,idle,,10,10,1.0,,,rapi,,,,,,,,,,,,,,
d_nikke_dorothy_04_7,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_7,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_8,d_nikke_dorothy_04,Self,Locale_NikkeEpisode:d_nikke_dorothy_04_8,False,,1,idle,,10,10,1.0,,,rapi,,,,,,,,,,,,,,
d_nikke_dorothy_04_9,d_nikke_dorothy_04,Self,Locale_NikkeEpisode:d_nikke_dorothy_04_9,False,,1,idle,,10,10,1.0,,,rapi,,,,,,,,,,,,,,
d_nikke_dorothy_04_10,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_10,True,,1,think,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_11,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_11,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_12,d_nikke_dorothy_04,Choice,Locale_NikkeEpisode:d_nikke_dorothy_04_12,False,,1,idle,,10,10,1.0,,,rapi,,d_nikke_dorothy_04_14,,,,,,,,,,,,
d_nikke_dorothy_04_13,d_nikke_dorothy_04,Choice,Locale_NikkeEpisode:d_nikke_dorothy_04_13,False,,1,idle,,10,10,1.0,,,rapi,,d_nikke_dorothy_04_17,,,,,,,,,,,,
d_nikke_dorothy_04_14,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_14,True,,1,think,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_15,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_15,True,,1,think,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_16,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_16,True,,1,idle,,10,10,1.0,,,rapi,rapi,d_nikke_dorothy_04_22,,,,,,,,,,,,
d_nikke_dorothy_04_17,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_17,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_18,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_18,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_19,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_19,True,,1,think,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_20,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_20,True,,1,think,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_21,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_21,True,,1,idle,,10,10,1.0,,,rapi,rapi,d_nikke_dorothy_04_22,,,,,,,,,,,,
d_nikke_dorothy_04_22,d_nikke_dorothy_04,Self,Locale_NikkeEpisode:d_nikke_dorothy_04_22,False,,1,idle,,10,10,1.0,,,rapi,,,,,,,,,,,,,,
d_nikke_dorothy_04_23,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_23,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_24,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_24,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_25,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_25,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_26,d_nikke_dorothy_04,Self,Locale_NikkeEpisode:d_nikke_dorothy_04_26,False,,1,idle,,10,10,1.0,,,rapi,,,,,,,,,,,,,,
d_nikke_dorothy_04_27,d_nikke_dorothy_04,Monologue,Locale_NikkeEpisode:d_nikke_dorothy_04_27,False,dorothy,1,idle,Desert_05,black,black,1.0,,,rapi,,,rapi,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_28,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_28,True,,1,angry,,10,10,1.0,,,dorothy,dorothy,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_29,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_29,True,,1,angry,,10,10,1.0,,,dorothy,dorothy,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_30,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_30,True,,1,angry,,10,10,1.0,,,dorothy,dorothy,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_31,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_31,True,,1,angry,,10,10,1.0,,,dorothy,dorothy,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_32,d_nikke_dorothy_04,Monologue,Locale_NikkeEpisode:d_nikke_dorothy_04_32,False,,1,angry,,black,black,1.0,,,dorothy,,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_33,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_33,True,,1,angry,,100,100,1.0,,,dorothy,dorothy,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_34,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_34,True,,1,smile,,100,100,1.0,,,dorothy,dorothy,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_35,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_35,True,,1,smile,,100,100,1.0,,,dorothy,dorothy,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_36,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_36,True,,1,smile,,100,100,1.0,,,dorothy,dorothy,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_37,d_nikke_dorothy_04,Monologue,Locale_NikkeEpisode:d_nikke_dorothy_04_37,False,,1,smile,EdenLobby,black,black,1.0,,,dorothy,,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_38,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_38,True,,1,think,,10,1,2.0,,,dorothy,dorothy,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_39,d_nikke_dorothy_04,Monologue,Locale_NikkeEpisode:d_nikke_dorothy_04_39,False,,1,think,,1,1,1.0,,,dorothy,,,,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_40,d_nikke_dorothy_04,Monologue,Locale_NikkeEpisode:d_nikke_dorothy_04_40,False,rapi,1,think,EdenIndoor,black,black,1.0,,,dorothy,,,dorothy,Grey,Vignetting,,,,,,,,,
d_nikke_dorothy_04_41,d_nikke_dorothy_04,Self,Locale_NikkeEpisode:d_nikke_dorothy_04_41,False,,1,idle,,10,10,1.0,,,rapi,,,,,,,,,,,,,,
d_nikke_dorothy_04_42,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_42,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_43,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_43,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_44,d_nikke_dorothy_04,Speech,Locale_NikkeEpisode:d_nikke_dorothy_04_44,True,,1,idle,,10,10,1.0,,,rapi,rapi,,,,,,,,,,,,,
d_nikke_dorothy_04_45,d_nikke_dorothy_04,Self,Locale_NikkeEpisode:d_nikke_dorothy_04_45,False,,1,idle,,10,10,1.0,,,rapi,,,,,,,,,,,,,,
d_nikke_dorothy_04_46,d_nikke_dorothy_04,Self,Locale_NikkeEpisode:d_nikke_dorothy_04_46,False,,1,idle,EdenLobby,black,black,1.0,,none,rapi,,,,,,,,,,,,,,
