id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
d_nikke_ce005_03_05_1,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_1,True,ce005_03,1,idle,Hospital,10,1,1.0,bgm_story_backtonormal,,,,,
d_nikke_ce005_03_05_2,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_2,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_3,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_3,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_4,d_nikke_ce005_03_05,Self,ce005_03,,Locale_NikkeEpisode:d_nikke_ce005_03_05_4,False,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_5,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_5,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_6,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_6,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_7,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_7,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_8,d_nikke_ce005_03_05,Choice,ce005_03,,Locale_NikkeEpisode:d_nikke_ce005_03_05_8,False,,1,idle,,1,1,1.0,,d_nikke_ce005_03_05_10,,,,
d_nikke_ce005_03_05_9,d_nikke_ce005_03_05,Choice,ce005_03,,Locale_NikkeEpisode:d_nikke_ce005_03_05_9,False,,1,shy,,1,1,1.0,,d_nikke_ce005_03_05_10,,,,
d_nikke_ce005_03_05_10,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_10,True,,1,shy,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_11,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_11,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_12,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_12,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_13,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_13,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_14,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_14,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_15,d_nikke_ce005_03_05,Self,ce005_03,,Locale_NikkeEpisode:d_nikke_ce005_03_05_15,False,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_16,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_16,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_17,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_17,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_18,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_18,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_19,d_nikke_ce005_03_05,Self,ce005_03,,Locale_NikkeEpisode:d_nikke_ce005_03_05_19,False,,1,idle,,1,1,1.0,,,,,,
d_nikke_ce005_03_05_20,d_nikke_ce005_03_05,Speech,ce005_03,ce005_03,Locale_NikkeEpisode:d_nikke_ce005_03_05_20,True,,1,idle,,1,1,1.0,none,,,,,
